,,25m,,50m,,100m,,250m,,500m,,1b,
"2^(⅐) [Native]",,0.838,"29,800,000",1.809,"27,600,000",4.073,"24,500,000",11.704,"21,300,000",25.129,"19,800,000",,
"2^(⅕) [Native]",,0.843,"29,600,000",1.867,"26,700,000",4.081,"24,500,000",11.631,"21,400,000",24.864,"20,100,000",,
"ArcCosh(e) [Log-Formula]",,45.772,"546,000",103.774,"481,000",230.244,"434,000",685.289,"364,000",1512.498,"330,000",,
"ArcCoth(GoldenRatio) [Log-Formula]",,44.570,"560,000",101.041,"494,000",224.194,"446,000",666.086,"375,000",1473.697,"339,000",,
"ArcSinh(e) [Log-Formula]",,45.727,"546,000",103.834,"481,000",230.342,"434,000",684.636,"365,000",1513.424,"330,000",,
"ArcTanh(Pi^-1) [Log-Formula]",,44.212,"565,000",100.450,"497,000",223.056,"448,000",662.307,"377,000",1469.114,"340,000",,
"ArcTanh(e^-1) [Log-Formula]",,45.496,"549,000",103.043,"485,000",228.136,"438,000",678.693,"368,000",1505.410,"332,000",,
"BesselI(0,1) [Series]",,1.576,"15,800,000",3.495,"14,300,000",7.608,"13,100,000",20.937,"11,900,000",45.107,"11,000,000",556.376,"1,790,000"
"BesselJ(0,1) [Series]",,1.584,"15,700,000",3.519,"14,200,000",7.636,"13,000,000",20.974,"11,900,000",45.178,"11,000,000",557.714,"1,790,000"
"Bronze Ratio [Invsqrt]",,0.488,"51,200,000",1.065,"46,900,000",2.360,"42,300,000",6.793,"36,800,000",14.830,"33,700,000",,
"Catalan's Constant [guillera2019]",8,32.054,"779,000",74.439,"671,000",172.043,"581,000",512.375,"487,000",1163.960,"429,000",,
"Catalan's Constant [pilehrood-short]",8,23.842,"1,040,000",55.406,"902,000",127.835,"782,000",380.025,"657,000",866.634,"576,000",,
"Cbrt(2) [Native]",,0.694,"36,000,000",1.520,"32,800,000",3.340,"29,900,000",9.666,"25,800,000",20.845,"23,900,000",,
"Cbrt(2) [Native2]",,0.697,"35,800,000",1.509,"33,100,000",3.380,"29,500,000",9.677,"25,800,000",20.750,"24,000,000",,
"Cbrt(3) [Native]",,0.696,"35,900,000",1.511,"33,000,000",3.356,"29,700,000",9.705,"25,700,000",20.879,"23,900,000",,
"Cbrt(3) [Native2]",,0.718,"34,800,000",1.557,"32,100,000",3.450,"28,900,000",9.864,"25,300,000",21.218,"23,500,000",,
"Cos(1) [Half Angle Formula]",,1.661,"15,000,000",3.567,"14,000,000",7.787,"12,800,000",21.359,"11,700,000",46.023,"10,800,000",596.445,"1,670,000"
"Cos(1) [Series]",,1.557,"16,000,000",3.482,"14,300,000",7.526,"13,200,000",21.817,"11,400,000",47.031,"10,600,000",565.641,"1,760,000"
"Erf(1) [Series]",,8.954,"2,790,000",19.846,"2,510,000",43.795,"2,280,000",125.634,"1,980,000",277.781,"1,790,000",,
"Erf(1) [Series-e]",,10.528,"2,370,000",23.435,"2,130,000",52.526,"1,900,000",153.389,"1,620,000",338.695,"1,470,000",,
"Euler-Mascheroni Constant [brent-original]",3,142.552,"175,000",325.423,"153,000",745.459,"134,000",2961.166,"84,400",,,,
"Euler-Mascheroni Constant [brent-refined]",3,106.255,"235,000",243.705,"205,000",558.205,"179,000",1973.758,"126,000",,,,
"Gamma(¼) [AGM-Pi]",10,19.445,"1,280,000",43.975,"1,130,000",97.390,"1,020,000",292.412,"854,000",640.183,"781,000",,
"Gamma(¼) [Series-Pi (Brown)]",10,40.574,"616,000",92.381,"541,000",210.478,"475,000",619.492,"403,000",,,,
