,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"2^(⅐) [Native]",,0.143,"174,000,000",0.252,"198,000,000",0.401,"249,000,000",0.798,"313,000,000",1.240,"403,000,000",2.213,"451,000,000",,,,,,,,,,,,
"2^(⅕) [Native]",,0.149,"167,000,000",0.248,"201,000,000",0.407,"245,000,000",0.808,"309,000,000",1.258,"397,000,000",2.206,"453,000,000",,,,,,,,,,,,
"ArcCosh(e) [Log-Formula]",,6.973,"3,580,000",12.290,"4,060,000",22.382,"4,460,000",48.340,"5,170,000",83.504,"5,980,000",145.104,"6,890,000",,,,,,,,,,,,
"ArcCoth(GoldenRatio) [Log-Formula]",,7.276,"3,430,000",12.409,"4,020,000",21.588,"4,630,000",46.148,"5,410,000",78.414,"6,370,000",136.604,"7,320,000",,,,,,,,,,,,
"ArcSinh(e) [Log-Formula]",,7.144,"3,490,000",12.286,"4,060,000",22.208,"4,500,000",47.761,"5,230,000",82.776,"6,040,000",141.102,"7,080,000",,,,,,,,,,,,
"ArcTanh(Pi^-1) [Log-Formula]",,6.225,"4,010,000",11.539,"4,330,000",22.228,"4,490,000",47.140,"5,300,000",81.001,"6,170,000",144.773,"6,900,000",,,,,,,,,,,,
"ArcTanh(e^-1) [Log-Formula]",,6.913,"3,610,000",11.969,"4,170,000",22.425,"4,450,000",48.634,"5,140,000",83.019,"6,020,000",143.602,"6,960,000",,,,,,,,,,,,
"BesselI(0,1) [Series]",,0.166,"150,000,000",0.308,"162,000,000",0.560,"178,000,000",1.128,"221,000,000",1.793,"278,000,000",3.309,"302,000,000",,,,,,,,,,,,
"BesselJ(0,1) [Series]",,0.171,"146,000,000",0.298,"167,000,000",0.569,"175,000,000",1.126,"222,000,000",1.794,"278,000,000",3.247,"307,000,000",,,,,,,,,,,,
"Bronze Ratio [Invsqrt]",,0.082,"304,000,000",0.133,"375,000,000",0.234,"427,000,000",0.498,"502,000,000",0.730,"684,000,000",1.336,"748,000,000",,,,,,,,,,,,
"Catalan's Constant [guillera2019]",8,2.320,"10,700,000",5.457,"9,160,000",12.796,"7,810,000",34.413,"7,260,000",62.346,"8,010,000",109.398,"9,140,000",,,,,,,,,,,,
