,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.082,"304,000,000",0.133,"375,000,000",0.232,"431,000,000",0.559,"447,000,000",1.059,"472,000,000",2.080,"480,000,000",5.404,"462,000,000",11.155,"448,000,000",23.934,"417,000,000",65.686,"380,000,000",,,,
"Amazon Web Services [c5d.large]",0.838,"29,800,000",1.809,"27,600,000",4.073,"24,500,000",11.704,"21,300,000",25.129,"19,800,000",,,,,,,,,,,,,,
"Amazon Web Services [c7a.large]",0.352,"71,000,000",0.734,"68,100,000",1.587,"63,000,000",4.530,"55,100,000",9.893,"50,500,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",0.519,"48,100,000",1.118,"44,700,000",2.445,"40,800,000",7.024,"35,500,000",15.167,"32,900,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.105,"238,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.823,"30,300,000",1.757,"28,400,000",3.708,"26,900,000",10.260,"24,300,000",22.177,"22,500,000",47.817,"20,900,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.065,"384,000,000",0.107,"467,000,000",0.182,"549,000,000",0.435,"574,000,000",0.778,"642,000,000",1.461,"684,000,000",3.825,"653,000,000",8.150,"613,000,000",17.062,"586,000,000",45.690,"547,000,000",95.227,"525,000,000",200.937,"497,000,000"
"Amazon Web Services [m6i.large]",0.664,"37,600,000",1.419,"35,200,000",3.073,"32,500,000",8.528,"29,300,000",18.184,"27,400,000",39.058,"25,600,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.344,"72,600,000",0.724,"69,000,000",1.554,"64,300,000",4.518,"55,300,000",9.804,"50,900,000",21.005,"47,600,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.082,"304,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.506,"49,400,000",1.093,"45,700,000",2.372,"42,100,000",6.799,"36,700,000",14.748,"33,900,000",32.275,"30,900,000",,,,,,,,,,,,
"Amazon Web Services [r7a.large]",0.355,"70,400,000",0.739,"67,600,000",1.587,"63,000,000",4.581,"54,500,000",9.999,"50,000,000",21.300,"46,900,000",54.831,"45,500,000",,,,,,,,,,
"Amazon Web Services [r7i.large]",0.511,"48,900,000",1.090,"45,800,000",2.365,"42,200,000",6.847,"36,500,000",14.714,"33,900,000",32.152,"31,100,000",86.214,"28,900,000",,,,,,,,,,
"Amazon Web Services [t3.small]",0.971,"25,700,000",2.124,"23,500,000",4.659,"21,400,000",13.298,"18,700,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",1.063,"23,500,000",2.290,"21,800,000",4.808,"20,700,000",13.339,"18,700,000",28.545,"17,500,000",61.864,"16,100,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.143,"174,000,000",0.233,"214,000,000",0.383,"261,000,000",0.733,"341,000,000",1.175,"425,000,000",1.944,"514,000,000",4.222,"592,000,000",,,,,,,,,,
