,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.083,"301,000,000",0.136,"367,000,000",0.238,"420,000,000",0.560,"446,000,000",1.074,"465,000,000",2.094,"477,000,000",5.418,"461,000,000",11.219,"445,000,000",24.185,"413,000,000",66.060,"378,000,000",,,,
"Amazon Web Services [c5d.large]",0.843,"29,600,000",1.867,"26,700,000",4.081,"24,500,000",11.631,"21,400,000",24.864,"20,100,000",,,,,,,,,,,,,,
"Amazon Web Services [c7a.large]",0.358,"69,800,000",0.748,"66,800,000",1.604,"62,300,000",4.545,"55,000,000",9.941,"50,200,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",0.523,"47,800,000",1.124,"44,400,000",2.450,"40,800,000",6.945,"35,900,000",15.116,"33,000,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.103,"242,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.818,"30,500,000",1.742,"28,700,000",3.692,"27,000,000",10.237,"24,400,000",22.242,"22,400,000",47.698,"20,900,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.064,"390,000,000",0.112,"446,000,000",0.190,"526,000,000",0.439,"569,000,000",0.789,"633,000,000",1.474,"678,000,000",3.770,"663,000,000",7.937,"629,000,000",17.069,"585,000,000",45.785,"546,000,000",95.883,"521,000,000",202.698,"493,000,000"
"Amazon Web Services [m6i.large]",0.659,"37,900,000",1.421,"35,100,000",3.082,"32,400,000",8.568,"29,100,000",18.297,"27,300,000",39.043,"25,600,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.355,"70,400,000",0.743,"67,200,000",1.594,"62,700,000",4.510,"55,400,000",9.800,"51,000,000",21.077,"47,400,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.080,"312,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.512,"48,800,000",1.093,"45,700,000",2.370,"42,100,000",6.774,"36,900,000",14.745,"33,900,000",31.972,"31,200,000",,,,,,,,,,,,
"Amazon Web Services [r7a.large]",0.360,"69,400,000",0.753,"66,400,000",1.624,"61,500,000",4.575,"54,600,000",10.025,"49,800,000",21.363,"46,800,000",54.729,"45,600,000",,,,,,,,,,
"Amazon Web Services [t3.small]",0.972,"25,700,000",2.126,"23,500,000",4.719,"21,100,000",13.289,"18,800,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",1.061,"23,500,000",2.245,"22,200,000",4.818,"20,700,000",13.304,"18,700,000",28.637,"17,400,000",61.678,"16,200,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.140,"178,000,000",0.220,"227,000,000",0.373,"268,000,000",0.744,"336,000,000",1.183,"422,000,000",2.017,"495,000,000",4.299,"581,000,000",,,,,,,,,,
