,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",3.550,"7,040,000",6.455,"7,740,000",12.526,"7,980,000",31.324,"7,980,000",62.249,"8,030,000",126.604,"7,890,000",344.534,"7,250,000",,,,
"Amazon Web Services [c5d.large]",44.570,"560,000",101.041,"494,000",224.194,"446,000",666.086,"375,000",1473.697,"339,000",,,,,,,,
"Amazon Web Services [c7i.large]",25.752,"970,000",58.084,"860,000",129.903,"769,000",390.085,"640,000",874.283,"571,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",5.228,"4,780,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",41.558,"601,000",90.571,"552,000",198.690,"503,000",580.147,"430,000",1289.788,"387,000",2827.116,"353,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",3.385,"7,380,000",5.514,"9,060,000",9.919,"10,000,000",24.323,"10,200,000",46.223,"10,800,000",91.431,"10,900,000",253.031,"9,880,000",540.774,"9,240,000",1163.674,"8,590,000"
"Amazon Web Services [m6i.large]",34.069,"733,000",75.090,"665,000",163.137,"612,000",469.731,"532,000",1039.047,"481,000",2311.427,"432,000",,,,,,
"Amazon Web Services [m7a.large]",17.414,"1,430,000",38.248,"1,300,000",84.317,"1,180,000",251.599,"993,000",554.800,"901,000",1221.457,"818,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",3.233,"7,730,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",25.323,"987,000",56.705,"881,000",126.320,"791,000",380.854,"656,000",855.300,"584,000",1918.118,"521,000",,,,,,
"Amazon Web Services [t3.small]",51.218,"488,000",116.426,"429,000",255.153,"391,000",756.502,"330,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",7.276,"3,430,000",12.409,"4,020,000",21.588,"4,630,000",46.148,"5,410,000",78.414,"6,370,000",136.604,"7,320,000",,,,,,
