,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",3.440,"7,260,000",6.300,"7,930,000",12.413,"8,050,000",31.509,"7,930,000",62.950,"7,940,000",127.971,"7,810,000",348.996,"7,160,000",,,,
"Amazon Web Services [c5d.large]",45.727,"546,000",103.834,"481,000",230.342,"434,000",684.636,"365,000",1513.424,"330,000",,,,,,,,
"Amazon Web Services [c7a.large]",18.060,"1,380,000",39.575,"1,260,000",87.911,"1,130,000",260.934,"958,000",576.831,"866,000",,,,,,,,
"Amazon Web Services [c7i.large]",26.524,"942,000",59.612,"838,000",133.549,"748,000",401.389,"622,000",897.372,"557,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",5.151,"4,850,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",43.098,"580,000",93.555,"534,000",204.045,"490,000",599.626,"416,000",1327.094,"376,000",2895.526,"345,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",3.151,"7,930,000",5.292,"9,440,000",9.535,"10,400,000",24.468,"10,200,000",46.869,"10,600,000",92.553,"10,800,000",258.231,"9,680,000",550.648,"9,080,000",1184.763,"8,440,000"
"Amazon Web Services [m6i.large]",34.998,"714,000",77.199,"647,000",168.252,"594,000",483.116,"517,000",1068.316,"468,000",2371.780,"421,000",,,,,,
"Amazon Web Services [m7a.large]",17.901,"1,390,000",39.341,"1,270,000",86.456,"1,150,000",259.115,"964,000",570.104,"877,000",1252.816,"798,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",3.221,"7,760,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",26.093,"958,000",58.253,"858,000",129.908,"769,000",392.644,"636,000",877.867,"569,000",1967.960,"508,000",,,,,,
"Amazon Web Services [t3.small]",52.664,"474,000",119.705,"417,000",263.188,"379,000",778.339,"321,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",7.144,"3,490,000",12.286,"4,060,000",22.208,"4,500,000",47.761,"5,230,000",82.776,"6,040,000",141.102,"7,080,000",,,,,,
