,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",3.486,"7,170,000",6.343,"7,880,000",12.151,"8,220,000",30.775,"8,120,000",61.444,"8,130,000",125.343,"7,970,000",340.649,"7,330,000",,,,
"Amazon Web Services [c5d.large]",44.212,"565,000",100.450,"497,000",223.056,"448,000",662.307,"377,000",1469.114,"340,000",,,,,,,,
"Amazon Web Services [c7a.large]",17.507,"1,420,000",38.265,"1,300,000",85.290,"1,170,000",252.724,"989,000",559.475,"893,000",,,,,,,,
"Amazon Web Services [c7i.large]",25.649,"974,000",58.019,"861,000",129.968,"769,000",390.319,"640,000",872.477,"573,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",5.008,"4,990,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",41.638,"600,000",91.099,"548,000",198.037,"504,000",580.586,"430,000",1286.617,"388,000",2823.592,"354,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",3.268,"7,640,000",5.187,"9,630,000",9.296,"10,700,000",23.613,"10,500,000",45.497,"10,900,000",90.268,"11,000,000",250.713,"9,970,000",537.023,"9,310,000",1155.271,"8,650,000"
"Amazon Web Services [m6i.large]",33.752,"740,000",74.884,"667,000",162.923,"613,000",468.335,"533,000",1035.412,"482,000",2303.884,"434,000",,,,,,
"Amazon Web Services [m7a.large]",17.340,"1,440,000",38.159,"1,310,000",83.953,"1,190,000",250.225,"999,000",553.064,"904,000",1217.077,"821,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",3.481,"7,180,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",25.266,"989,000",56.580,"883,000",126.576,"790,000",380.392,"657,000",852.712,"586,000",1906.324,"524,000",,,,,,
"Amazon Web Services [r7a.large]",17.613,"1,410,000",38.514,"1,290,000",85.887,"1,160,000",255.307,"979,000",565.752,"883,000",1233.397,"810,000",3268.264,"764,000",,,,
"Amazon Web Services [r7i.large]",25.465,"981,000",57.038,"876,000",127.063,"787,000",381.073,"656,000",849.205,"588,000",1898.440,"526,000",5268.316,"474,000",,,,
"Amazon Web Services [t3.small]",51.004,"490,000",116.271,"430,000",257.124,"388,000",760.910,"328,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",6.225,"4,010,000",11.539,"4,330,000",22.228,"4,490,000",47.140,"5,300,000",81.001,"6,170,000",144.773,"6,900,000",,,,,,
