,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",3.578,"6,980,000",6.455,"7,740,000",12.483,"8,010,000",31.456,"7,940,000",62.721,"7,970,000",127.592,"7,830,000",345.938,"7,220,000",,,,
"Amazon Web Services [c5d.large]",45.496,"549,000",103.043,"485,000",228.136,"438,000",678.693,"368,000",1505.410,"332,000",,,,,,,,
"Amazon Web Services [c7a.large]",17.964,"1,390,000",39.254,"1,270,000",87.591,"1,140,000",259.450,"963,000",573.779,"871,000",,,,,,,,
"Amazon Web Services [c7i.large]",26.326,"949,000",59.280,"843,000",132.787,"753,000",398.721,"627,000",891.877,"560,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",5.232,"4,770,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",42.435,"589,000",92.886,"538,000",203.467,"491,000",593.667,"421,000",1328.580,"376,000",2886.179,"346,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",3.292,"7,590,000",5.138,"9,730,000",9.644,"10,300,000",24.104,"10,300,000",46.692,"10,700,000",91.875,"10,800,000",256.345,"9,750,000",548.062,"9,120,000",1180.450,"8,470,000"
"Amazon Web Services [m6i.large]",34.803,"718,000",76.555,"653,000",167.123,"598,000",480.527,"520,000",1061.987,"470,000",2360.565,"423,000",,,,,,
"Amazon Web Services [m7a.large]",17.801,"1,400,000",39.148,"1,270,000",85.840,"1,160,000",257.495,"970,000",567.612,"880,000",1248.770,"800,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",3.218,"7,760,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",25.920,"964,000",57.952,"862,000",129.118,"774,000",389.696,"641,000",873.832,"572,000",1956.775,"511,000",,,,,,
"Amazon Web Services [r7a.large]",18.093,"1,380,000",39.480,"1,260,000",88.284,"1,130,000",262.331,"952,000",581.311,"860,000",1266.004,"789,000",3348.237,"746,000",,,,
"Amazon Web Services [r7i.large]",26.245,"952,000",58.488,"854,000",130.161,"768,000",392.246,"637,000",871.963,"573,000",1945.379,"514,000",5385.743,"464,000",,,,
"Amazon Web Services [t3.small]",52.329,"477,000",118.642,"421,000",262.500,"380,000",775.793,"322,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",6.913,"3,610,000",11.969,"4,170,000",22.425,"4,450,000",48.634,"5,140,000",83.019,"6,020,000",143.602,"6,960,000",,,,,,
