,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.096,"260,000,000",0.179,"279,000,000",0.330,"303,000,000",0.814,"307,000,000",1.632,"306,000,000",3.392,"294,000,000",8.946,"279,000,000",19.197,"260,000,000",41.076,"243,000,000",112.837,"221,000,000",,,,
"Amazon Web Services [c5d.large]",1.576,"15,800,000",3.495,"14,300,000",7.608,"13,100,000",20.937,"11,900,000",45.107,"11,000,000",556.376,"1,790,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.145,"172,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",1.444,"17,300,000",3.204,"15,600,000",6.964,"14,300,000",18.450,"13,500,000",40.687,"12,200,000",88.839,"11,200,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.072,"347,000,000",0.135,"370,000,000",0.259,"386,000,000",0.621,"402,000,000",1.202,"415,000,000",2.401,"416,000,000",6.473,"386,000,000",13.926,"359,000,000",29.855,"334,000,000",84.995,"294,000,000",182.949,"273,000,000",392.611,"254,000,000"
"Amazon Web Services [m6i.large]",1.277,"19,500,000",2.824,"17,700,000",6.098,"16,300,000",16.241,"15,300,000",34.526,"14,400,000",74.382,"13,400,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.611,"40,900,000",1.338,"37,300,000",2.876,"34,700,000",8.219,"30,400,000",17.816,"28,000,000",38.390,"26,000,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.091,"274,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.965,"25,900,000",2.088,"23,900,000",4.525,"22,000,000",12.872,"19,400,000",27.704,"18,000,000",60.438,"16,500,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",1.891,"13,200,000",4.150,"12,000,000",9.009,"11,100,000",24.281,"10,200,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",1.920,"13,000,000",4.182,"11,900,000",9.018,"11,000,000",24.154,"10,300,000",53.077,"9,420,000",114.582,"8,720,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.155,"161,000,000",0.282,"177,000,000",0.543,"184,000,000",1.058,"236,000,000",1.661,"301,000,000",2.778,"359,000,000",6.293,"397,000,000",,,,,,,,,,
