,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.099,"252,000,000",0.180,"277,000,000",0.334,"299,000,000",0.817,"305,000,000",1.636,"305,000,000",3.392,"294,000,000",8.900,"280,000,000",19.256,"259,000,000",40.645,"246,000,000",113.440,"220,000,000",,,,
"Amazon Web Services [c5d.large]",1.584,"15,700,000",3.519,"14,200,000",7.636,"13,000,000",20.974,"11,900,000",45.178,"11,000,000",557.714,"1,790,000",,,,,,,,,,,,
"Amazon Web Services [c7a.large]",0.642,"38,900,000",1.366,"36,600,000",2.946,"33,900,000",8.245,"30,300,000",17.769,"28,100,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",0.986,"25,300,000",2.130,"23,400,000",4.628,"21,600,000",13.164,"18,900,000",28.518,"17,500,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.150,"166,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",1.450,"17,200,000",3.215,"15,500,000",6.964,"14,300,000",18.473,"13,500,000",40.662,"12,200,000",89.170,"11,200,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.072,"347,000,000",0.134,"373,000,000",0.260,"384,000,000",0.614,"407,000,000",1.198,"417,000,000",2.413,"414,000,000",6.474,"386,000,000",13.951,"358,000,000",29.788,"335,000,000",85.888,"291,000,000",183.075,"273,000,000",390.753,"255,000,000"
"Amazon Web Services [m6i.large]",1.286,"19,400,000",2.809,"17,700,000",6.090,"16,400,000",16.267,"15,300,000",34.740,"14,300,000",74.714,"13,300,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.614,"40,700,000",1.342,"37,200,000",2.879,"34,700,000",8.262,"30,200,000",17.854,"28,000,000",38.470,"25,900,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.096,"260,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.972,"25,700,000",2.108,"23,700,000",4.542,"22,000,000",12.921,"19,300,000",27.826,"17,900,000",60.590,"16,500,000",,,,,,,,,,,,
"Amazon Web Services [r7a.large]",0.646,"38,600,000",1.366,"36,600,000",2.996,"33,300,000",8.248,"30,300,000",17.893,"27,900,000",38.468,"25,900,000",108.249,"23,000,000",,,,,,,,,,
"Amazon Web Services [r7i.large]",0.975,"25,600,000",2.090,"23,900,000",4.572,"21,800,000",12.845,"19,400,000",27.869,"17,900,000",60.496,"16,500,000",164.972,"15,100,000",,,,,,,,,,
"Amazon Web Services [t3.small]",1.903,"13,100,000",4.144,"12,000,000",9.083,"11,000,000",24.358,"10,200,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",1.939,"12,800,000",4.197,"11,900,000",9.089,"11,000,000",24.396,"10,200,000",53.225,"9,390,000",115.057,"8,690,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.155,"161,000,000",0.285,"175,000,000",0.533,"187,000,000",1.052,"237,000,000",1.650,"303,000,000",2.820,"354,000,000",6.294,"397,000,000",,,,,,,,,,
