,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.046,"543,000,000",0.077,"649,000,000",0.134,"746,000,000",0.324,"771,000,000",0.624,"801,000,000",1.244,"803,000,000",3.260,"766,000,000",6.998,"714,000,000",14.663,"681,000,000",40.202,"621,000,000",,,,
"Amazon Web Services [c5d.large]",0.488,"51,200,000",1.065,"46,900,000",2.360,"42,300,000",6.793,"36,800,000",14.830,"33,700,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.056,"446,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.484,"51,600,000",1.025,"48,700,000",2.243,"44,500,000",6.133,"40,700,000",13.413,"37,200,000",29.472,"33,900,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.035,"714,000,000",0.062,"806,000,000",0.108,"925,000,000",0.262,"954,000,000",0.471,"1,060,000,000",0.900,"1,110,000,000",2.278,"1,090,000,000",4.952,"1,000,000,000",10.571,"945,000,000",30.361,"823,000,000",64.975,"769,000,000",136.616,"731,000,000"
"Amazon Web Services [m6i.large]",0.388,"64,400,000",0.848,"58,900,000",1.827,"54,700,000",5.169,"48,300,000",11.075,"45,100,000",23.821,"41,900,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.051,"490,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.312,"80,100,000",0.660,"75,700,000",1.428,"70,000,000",4.134,"60,400,000",9.042,"55,200,000",19.689,"50,700,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",0.568,"44,000,000",1.222,"40,900,000",2.734,"36,500,000",7.797,"32,000,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.628,"39,800,000",1.345,"37,100,000",2.943,"33,900,000",8.228,"30,300,000",17.733,"28,100,000",38.835,"25,700,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.081,"308,000,000",0.133,"375,000,000",0.221,"452,000,000",0.457,"547,000,000",0.712,"702,000,000",1.189,"841,000,000",2.616,"955,000,000",5.220,"957,000,000",10.515,"951,000,000",27.413,"911,000,000",57.774,"865,000,000",139.884,"714,000,000"
