,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.477,"16,900,000",3.389,"14,700,000",7.543,"13,200,000",20.536,"12,100,000",43.435,"11,500,000",93.055,"10,700,000",262.178,"9,530,000",,,,
"Amazon Web Services [c5d.large]",32.054,"779,000",74.439,"671,000",172.043,"581,000",512.375,"487,000",1163.960,"429,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.768,"14,100,000",4.800,"10,400,000",11.193,"8,930,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",30.479,"820,000",70.705,"707,000",160.723,"622,000",476.525,"524,000",1079.355,"463,000",2449.513,"408,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",2.036,"12,200,000",3.234,"15,400,000",6.651,"15,000,000",17.090,"14,600,000",34.854,"14,300,000",73.120,"13,600,000",201.976,"12,300,000",438.427,"11,400,000",967.336,"10,300,000"
"Amazon Web Services [m6i.large]",25.644,"974,000",58.857,"849,000",134.753,"742,000",401.422,"622,000",893.371,"559,000",2005.467,"498,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.718,"34,800,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",19.888,"1,250,000",45.672,"1,090,000",104.288,"958,000",306.788,"814,000",695.447,"718,000",1573.532,"635,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",1.537,"16,200,000",3.507,"14,200,000",7.779,"12,800,000",21.101,"11,800,000",44.695,"11,100,000",95.574,"10,400,000",270.316,"9,240,000",,,,
"Amazon Web Services [t3.small]",37.810,"661,000",87.210,"573,000",200.966,"497,000",597.914,"418,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",2.320,"10,700,000",5.457,"9,160,000",12.796,"7,810,000",34.413,"7,260,000",62.346,"8,010,000",109.398,"9,140,000",,,,,,
