,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.114,"22,400,000",2.512,"19,900,000",5.587,"17,800,000",15.254,"16,300,000",32.259,"15,400,000",69.018,"14,400,000",194.807,"12,800,000",,,,
"Amazon Web Services [c5d.large]",23.842,"1,040,000",55.406,"902,000",127.835,"782,000",380.025,"657,000",866.634,"576,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.337,"18,600,000",3.561,"14,000,000",8.161,"12,200,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",22.639,"1,100,000",51.961,"962,000",119.258,"838,000",353.211,"707,000",800.752,"624,000",1815.401,"550,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.537,"16,200,000",2.417,"20,600,000",4.947,"20,200,000",12.630,"19,700,000",25.873,"19,300,000",54.103,"18,400,000",149.798,"16,600,000",323.935,"15,400,000",716.259,"13,900,000"
"Amazon Web Services [m6i.large]",19.059,"1,310,000",43.850,"1,140,000",100.143,"998,000",295.139,"847,000",662.825,"754,000",1486.012,"672,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.559,"44,700,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",14.794,"1,680,000",33.835,"1,470,000",77.249,"1,290,000",228.076,"1,090,000",515.655,"969,000",1163.506,"859,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",1.157,"21,600,000",2.613,"19,100,000",5.794,"17,200,000",15.670,"15,900,000",33.202,"15,000,000",70.990,"14,000,000",199.419,"12,500,000",,,,
"Amazon Web Services [t3.small]",28.125,"888,000",64.895,"770,000",149.644,"668,000",444.455,"562,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.754,"14,200,000",4.049,"12,300,000",9.293,"10,700,000",25.274,"9,890,000",46.074,"10,800,000",81.620,"12,200,000",,,,,,
