,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.070,"357,000,000",0.112,"446,000,000",0.196,"510,000,000",0.460,"543,000,000",0.887,"563,000,000",1.726,"579,000,000",4.469,"559,000,000",9.496,"526,000,000",20.195,"495,000,000",55.240,"452,000,000",,,,
"Amazon Web Services [c5d.large]",0.694,"36,000,000",1.520,"32,800,000",3.340,"29,900,000",9.666,"25,800,000",20.845,"23,900,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.083,"301,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.681,"36,700,000",1.436,"34,800,000",3.115,"32,100,000",8.508,"29,300,000",18.520,"26,900,000",40.080,"24,900,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.047,"531,000,000",0.091,"549,000,000",0.154,"649,000,000",0.365,"684,000,000",0.651,"768,000,000",1.222,"818,000,000",3.184,"785,000,000",6.758,"739,000,000",14.480,"690,000,000",39.192,"637,000,000",82.671,"604,000,000",175.375,"570,000,000"
"Amazon Web Services [m6i.large]",0.544,"45,900,000",1.189,"42,000,000",2.567,"38,900,000",7.188,"34,700,000",15.352,"32,500,000",33.004,"30,200,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.073,"342,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.430,"58,100,000",0.923,"54,100,000",2.002,"49,900,000",5.722,"43,600,000",12.418,"40,200,000",27.059,"36,900,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",0.810,"30,800,000",1.737,"28,700,000",3.889,"25,700,000",11.061,"22,600,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.883,"28,300,000",1.908,"26,200,000",4.069,"24,500,000",11.186,"22,300,000",24.212,"20,600,000",52.160,"19,100,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.117,"213,000,000",0.188,"265,000,000",0.313,"319,000,000",0.611,"409,000,000",0.970,"515,000,000",1.642,"609,000,000",3.580,"698,000,000",,,,,,,,,,
