,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.069,"362,000,000",0.114,"438,000,000",0.198,"505,000,000",0.466,"536,000,000",0.896,"558,000,000",1.765,"566,000,000",4.606,"542,000,000",9.545,"523,000,000",20.468,"488,000,000",55.606,"449,000,000",,,,
"Amazon Web Services [c5d.large]",0.718,"34,800,000",1.557,"32,100,000",3.450,"28,900,000",9.864,"25,300,000",21.218,"23,500,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.086,"290,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.702,"35,600,000",1.484,"33,600,000",3.222,"31,000,000",8.824,"28,300,000",18.895,"26,400,000",40.903,"24,400,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.050,"500,000,000",0.094,"531,000,000",0.157,"636,000,000",0.368,"679,000,000",0.659,"758,000,000",1.234,"810,000,000",3.199,"781,000,000",6.749,"740,000,000",14.439,"692,000,000",39.560,"631,000,000",82.614,"605,000,000",175.416,"570,000,000"
"Amazon Web Services [m6i.large]",0.567,"44,000,000",1.213,"41,200,000",2.618,"38,100,000",7.301,"34,200,000",15.578,"32,000,000",33.454,"29,800,000",,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.435,"57,400,000",0.924,"54,100,000",2.013,"49,600,000",5.771,"43,300,000",12.551,"39,800,000",27.369,"36,500,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",0.824,"30,300,000",1.816,"27,500,000",3.967,"25,200,000",11.274,"22,100,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.910,"27,400,000",1.948,"25,600,000",4.114,"24,300,000",11.550,"21,600,000",24.756,"20,100,000",53.234,"18,700,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.127,"196,000,000",0.200,"250,000,000",0.333,"300,000,000",0.632,"395,000,000",1.003,"498,000,000",1.699,"588,000,000",3.594,"695,000,000",,,,,,,,,,
