,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,,250b,
"Amazon Web Services [c5d.24xlarge]",0.104,"240,000,000",0.187,"267,000,000",0.347,"288,000,000",0.863,"289,000,000",1.730,"289,000,000",3.572,"279,000,000",9.394,"266,000,000",20.215,"247,000,000",42.957,"232,000,000",118.162,"211,000,000",,,,,,
"Amazon Web Services [c5d.large]",1.661,"15,000,000",3.567,"14,000,000",7.787,"12,800,000",21.359,"11,700,000",46.023,"10,800,000",596.445,"1,670,000",,,,,,,,,,,,,,
"Amazon Web Services [i3en.24xlarge]",0.109,"229,000,000",0.192,"260,000,000",0.363,"275,000,000",0.892,"280,000,000",1.777,"281,000,000",3.699,"270,000,000",9.623,"259,000,000",20.643,"242,000,000",43.777,"228,000,000",120.367,"207,000,000",265.883,"188,000,000",575.865,"173,000,000",2768.316,"90,300,000"
"Amazon Web Services [m6a.48xlarge]",0.148,"168,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",1.518,"16,400,000",3.367,"14,800,000",7.241,"13,800,000",19.373,"12,900,000",42.791,"11,600,000",92.736,"10,700,000",,,,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.078,"320,000,000",0.140,"357,000,000",0.274,"364,000,000",0.663,"377,000,000",1.271,"393,000,000",2.535,"394,000,000",6.886,"363,000,000",14.680,"340,000,000",31.352,"318,000,000",88.870,"281,000,000",191.078,"261,000,000",407.518,"245,000,000",,
"Amazon Web Services [m6i.large]",1.344,"18,600,000",2.919,"17,100,000",6.364,"15,700,000",16.994,"14,700,000",36.385,"13,700,000",78.009,"12,800,000",,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",1.011,"24,700,000",2.199,"22,700,000",4.750,"21,000,000",13.544,"18,400,000",29.151,"17,100,000",63.436,"15,700,000",,,,,,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.110,"227,000,000",0.197,"253,000,000",0.367,"272,000,000",0.899,"278,000,000",1.802,"277,000,000",3.711,"269,000,000",9.741,"256,000,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",1.996,"12,500,000",4.314,"11,500,000",9.480,"10,500,000",25.455,"9,820,000",,,,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",2.045,"12,200,000",4.510,"11,000,000",9.695,"10,300,000",25.989,"9,610,000",56.618,"8,830,000",121.233,"8,240,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.160,"156,000,000",0.299,"167,000,000",0.564,"177,000,000",1.123,"222,000,000",1.760,"284,000,000",2.989,"334,000,000",6.686,"373,000,000",,,,,,,,,,,,
