,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.506,"49,400,000",0.993,"50,300,000",2.079,"48,100,000",5.241,"47,700,000",10.570,"47,300,000",21.769,"45,900,000",58.340,"42,800,000",125.152,"39,900,000",,,,,,
"Amazon Web Services [c5d.large]",8.954,"2,790,000",19.846,"2,510,000",43.795,"2,280,000",125.634,"1,980,000",277.781,"1,790,000",,,,,,,,,,,,
"Amazon Web Services [c7a.large]",3.470,"7,200,000",7.702,"6,490,000",16.861,"5,930,000",48.204,"5,180,000",105.894,"4,720,000",,,,,,,,,,,,
"Amazon Web Services [c7i.large]",5.539,"4,510,000",12.242,"4,080,000",26.702,"3,740,000",76.072,"3,280,000",167.101,"2,990,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.738,"33,800,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",8.051,"3,100,000",18.015,"2,770,000",39.511,"2,530,000",112.206,"2,220,000",247.845,"2,010,000",544.674,"1,830,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.570,"43,800,000",0.916,"54,500,000",1.741,"57,400,000",4.265,"58,600,000",8.392,"59,500,000",16.608,"60,200,000",44.288,"56,400,000",93.896,"53,200,000",201.670,"49,500,000",546.128,"45,700,000",1189.776,"42,000,000"
"Amazon Web Services [m6i.large]",7.142,"3,500,000",15.756,"3,170,000",34.199,"2,920,000",96.653,"2,580,000",211.133,"2,360,000",460.310,"2,170,000",,,,,,,,,,
"Amazon Web Services [m7a.large]",3.468,"7,200,000",7.661,"6,520,000",16.734,"5,970,000",47.867,"5,220,000",104.544,"4,780,000",231.214,"4,320,000",,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.358,"69,800,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",5.439,"4,590,000",11.909,"4,190,000",26.170,"3,820,000",74.538,"3,350,000",163.748,"3,050,000",362.449,"2,750,000",,,,,,,,,,
"Amazon Web Services [r7a.large]",3.493,"7,150,000",7.767,"6,430,000",16.946,"5,900,000",48.614,"5,140,000",106.938,"4,670,000",234.349,"4,260,000",652.906,"3,820,000",,,,,,,,
"Amazon Web Services [t3.small]",10.636,"2,350,000",23.400,"2,130,000",51.498,"1,940,000",147.452,"1,690,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",10.702,"2,330,000",23.694,"2,110,000",51.650,"1,930,000",145.733,"1,710,000",322.345,"1,550,000",707.868,"1,410,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.817,"30,500,000",1.523,"32,800,000",3.198,"31,200,000",7.864,"31,700,000",13.887,"36,000,000",23.534,"42,400,000",49.443,"50,500,000",,,,,,,,
