,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,
"Amazon Web Services [c5d.24xlarge]",8.065,"3,090,000",16.040,"3,110,000",34.895,"2,860,000",119.252,"2,090,000",250.654,"1,990,000",530.924,"1,880,000",1287.406,"1,940,000",,
"Amazon Web Services [c5d.large]",142.552,"175,000",325.423,"153,000",745.459,"134,000",2961.166,"84,400",,,,,,,,
"Amazon Web Services [c7a.large]",57.823,"432,000",131.907,"379,000",298.081,"335,000",1154.687,"216,000",,,,,,,,
"Amazon Web Services [c7i.large]",89.331,"279,000",204.199,"244,000",462.420,"216,000",1800.468,"138,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",9.790,"2,550,000",23.400,"2,130,000",49.213,"2,030,000",,,,,,,,,,
"Amazon Web Services [m6a.large]",134.345,"186,000",303.031,"164,000",691.356,"144,000",2689.688,"92,900",6080.880,"82,200",,,,,,
"Amazon Web Services [m6i.32xlarge]",9.506,"2,620,000",14.599,"3,420,000",28.747,"3,470,000",95.573,"2,610,000",194.530,"2,570,000",406.643,"2,450,000",970.619,"2,570,000",2105.267,"2,370,000"
"Amazon Web Services [m6i.large]",114.684,"217,000",258.692,"193,000",582.172,"171,000",2263.539,"110,000",5054.340,"98,900",,,,,,
"Amazon Web Services [m7a.large]",57.571,"434,000",131.486,"380,000",297.103,"336,000",1148.613,"217,000",2568.464,"194,000",5749.206,"173,000",,,,
"Amazon Web Services [m7i.48xlarge]",4.633,"5,390,000",,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",88.342,"282,000",201.049,"248,000",455.789,"219,000",1770.520,"141,000",3992.182,"125,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",8.366,"2,980,000",16.968,"2,940,000",35.946,"2,780,000",122.937,"2,030,000",,,,,,,,
"Amazon Web Services [r7a.large]",58.198,"429,000",132.511,"377,000",299.833,"333,000",1163.556,"214,000",2603.453,"192,000",5819.892,"171,000",,,,
"Amazon Web Services [r7i.large]",89.160,"280,000",203.192,"246,000",459.983,"217,000",1787.678,"139,000",4018.659,"124,000",9037.357,"110,000",,,,
"Amazon Web Services [t3.small]",168.314,"148,000",394.593,"126,000",891.565,"112,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",12.320,"2,020,000",25.980,"1,920,000",55.520,"1,800,000",185.415,"1,340,000",330.700,"1,510,000",566.175,"1,760,000",,,,
