,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,
"Amazon Web Services [c5d.24xlarge]",5.847,"4,270,000",12.184,"4,100,000",25.874,"3,860,000",80.488,"3,100,000",168.540,"2,960,000",359.199,"2,780,000",894.725,"2,790,000",,
"Amazon Web Services [c5d.large]",106.255,"235,000",243.705,"205,000",558.205,"179,000",1973.758,"126,000",,,,,,,,
"Amazon Web Services [c7i.large]",65.896,"379,000",149.797,"333,000",339.271,"294,000",1200.342,"208,000",,,,,,,,
"Amazon Web Services [i3en.large]",90.273,"276,000",207.178,"241,000",477.250,"209,000",1697.409,"147,000",,,,,,,,
"Amazon Web Services [m5zn.metal]",6.857,"3,640,000",14.395,"3,470,000",30.016,"3,330,000",95.020,"2,630,000",204.306,"2,440,000",446.382,"2,240,000",1138.823,"2,190,000",,
"Amazon Web Services [m6a.48xlarge]",7.280,"3,430,000",17.382,"2,870,000",37.010,"2,700,000",,,,,,,,,,
"Amazon Web Services [m6a.large]",98.683,"253,000",223.585,"223,000",506.273,"197,000",1783.792,"140,000",4056.434,"123,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",7.271,"3,430,000",11.308,"4,420,000",21.638,"4,620,000",64.894,"3,850,000",131.204,"3,810,000",273.798,"3,650,000",677.893,"3,680,000",1468.708,"3,400,000"
"Amazon Web Services [m6i.large]",84.779,"294,000",191.217,"261,000",430.791,"232,000",1504.703,"166,000",3372.085,"148,000",,,,,,
"Amazon Web Services [m7a.large]",42.321,"590,000",96.446,"518,000",218.220,"458,000",766.541,"326,000",1717.210,"291,000",3853.041,"259,000",,,,
"Amazon Web Services [m7i.48xlarge]",3.535,"7,070,000",,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",65.284,"382,000",147.943,"337,000",335.296,"298,000",1181.370,"211,000",2666.565,"187,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",6.127,"4,080,000",12.864,"3,880,000",26.936,"3,710,000",82.817,"3,010,000",,,,,,,,
"Amazon Web Services [t3.small]",124.903,"200,000",282.499,"176,000",646.604,"154,000",,,,,,,,,,
"Amazon Web Services [z1d.12xlarge]",7.436,"3,360,000",15.579,"3,200,000",32.391,"3,080,000",101.968,"2,450,000",217.569,"2,290,000",473.812,"2,110,000",1214.332,"2,050,000",,
"Amazon Web Services [z1d.metal]",7.327,"3,410,000",15.358,"3,250,000",32.012,"3,120,000",100.683,"2,480,000",215.706,"2,310,000",469.629,"2,120,000",1206.873,"2,070,000",,
"Google Cloud Platform [n2d-standard-224]",9.137,"2,730,000",19.351,"2,580,000",41.292,"2,420,000",125.815,"1,980,000",226.191,"2,210,000",404.184,"2,470,000",,,,
