,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.742,"14,300,000",3.011,"16,600,000",5.676,"17,600,000",14.031,"17,800,000",27.584,"18,100,000",55.210,"18,100,000",148.264,"16,800,000",310.653,"16,000,000",,
"Amazon Web Services [c5d.large]",19.445,"1,280,000",43.975,"1,130,000",97.390,"1,020,000",292.412,"854,000",640.183,"781,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.433,"10,200,000",4.480,"11,100,000",8.989,"11,100,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",18.571,"1,340,000",40.013,"1,240,000",86.536,"1,150,000",252.648,"989,000",557.413,"897,000",1202.651,"831,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.348,"18,500,000",2.487,"20,100,000",4.409,"22,600,000",10.740,"23,200,000",20.309,"24,600,000",39.411,"25,300,000",107.800,"23,100,000",231.083,"21,600,000",493.384,"20,200,000"
"Amazon Web Services [m6i.large]",14.906,"1,670,000",32.743,"1,520,000",70.515,"1,410,000",202.018,"1,230,000",443.001,"1,120,000",980.623,"1,010,000",,,,,,
"Amazon Web Services [m7i.large]",10.953,"2,280,000",24.438,"2,040,000",54.392,"1,830,000",166.017,"1,500,000",369.148,"1,350,000",821.863,"1,210,000",,,,,,
"Amazon Web Services [t3.small]",22.516,"1,110,000",51.032,"979,000",111.396,"897,000",328.948,"759,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",23.442,"1,060,000",50.542,"989,000",109.789,"910,000",323.548,"772,000",714.795,"699,000",1553.057,"643,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.448,"7,250,000",5.741,"8,700,000",9.631,"10,300,000",20.111,"12,400,000",33.360,"14,900,000",60.613,"16,400,000",117.237,"21,300,000",,,,
