,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.876,"13,300,000",4.134,"12,000,000",9.033,"11,000,000",24.190,"10,300,000",50.963,"9,810,000",108.506,"9,210,000",301.916,"8,280,000",661.373,"7,560,000",,
"Amazon Web Services [c5d.large]",40.574,"616,000",92.381,"541,000",210.478,"475,000",619.492,"403,000",,,,,,,,,,
"Amazon Web Services [c7a.large]",15.594,"1,600,000",35.492,"1,400,000",79.994,"1,250,000",233.297,"1,070,000",524.862,"952,000",,,,,,,,
"Amazon Web Services [c7i.large]",24.759,"1,000,000",55.694,"897,000",125.923,"794,000",367.319,"680,000",824.400,"606,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.347,"10,600,000",5.825,"8,580,000",13.228,"7,550,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",37.579,"665,000",87.798,"569,000",202.146,"494,000",591.680,"422,000",1337.960,"373,000",2870.947,"348,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",2.461,"10,100,000",3.874,"12,900,000",7.831,"12,700,000",19.872,"12,500,000",40.421,"12,300,000",84.115,"11,800,000",228.676,"10,900,000",496.918,"10,000,000",1083.337,"9,230,000"
"Amazon Web Services [m6i.large]",32.361,"772,000",73.185,"683,000",164.469,"608,000",477.783,"523,000",1073.473,"465,000",2400.011,"416,000",,,,,,
"Amazon Web Services [m7a.large]",15.446,"1,610,000",35.209,"1,420,000",79.787,"1,250,000",231.531,"1,070,000",521.150,"959,000",1174.378,"851,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.003,"24,900,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",24.361,"1,020,000",54.964,"909,000",123.814,"807,000",360.669,"693,000",812.152,"615,000",1824.955,"547,000",,,,,,
"Amazon Web Services [t3.small]",48.007,"520,000",108.719,"459,000",247.074,"404,000",724.453,"345,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",48.857,"511,000",110.747,"451,000",249.759,"400,000",726.889,"343,000",1644.541,"304,000",3664.013,"272,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",2.927,"8,540,000",6.549,"7,630,000",14.941,"6,690,000",39.982,"6,250,000",72.274,"6,910,000",127.348,"7,850,000",245.761,"10,100,000",,,,
