,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.734,"14,400,000",3.007,"16,600,000",5.724,"17,400,000",14.087,"17,700,000",27.451,"18,200,000",55.487,"18,000,000",148.969,"16,700,000",311.379,"16,000,000",,
"Amazon Web Services [c5d.large]",19.646,"1,270,000",44.557,"1,120,000",97.981,"1,020,000",292.651,"854,000",640.025,"781,000",,,,,,,,
"Amazon Web Services [c7i.large]",11.203,"2,230,000",25.190,"1,980,000",56.043,"1,780,000",168.727,"1,480,000",377.017,"1,320,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.423,"10,300,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",18.407,"1,350,000",39.890,"1,250,000",86.324,"1,150,000",253.248,"987,000",559.231,"894,000",1210.399,"826,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.542,"16,200,000",2.462,"20,300,000",4.427,"22,500,000",10.634,"23,500,000",20.362,"24,500,000",39.360,"25,400,000",108.260,"23,000,000",231.708,"21,500,000",494.256,"20,200,000"
"Amazon Web Services [m6i.large]",14.946,"1,670,000",32.820,"1,520,000",70.825,"1,410,000",202.757,"1,230,000",444.540,"1,120,000",983.799,"1,010,000",,,,,,
"Amazon Web Services [m7a.large]",7.592,"3,290,000",16.626,"3,000,000",36.250,"2,750,000",109.279,"2,280,000",239.772,"2,080,000",523.470,"1,910,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.574,"15,800,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",10.992,"2,270,000",24.502,"2,040,000",54.453,"1,830,000",165.965,"1,500,000",369.885,"1,350,000",824.137,"1,210,000",,,,,,
"Amazon Web Services [t3.small]",22.768,"1,090,000",51.701,"967,000",112.725,"887,000",331.645,"753,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",24.081,"1,030,000",52.019,"961,000",113.826,"878,000",337.093,"741,000",724.579,"690,000",1594.477,"627,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.588,"6,960,000",5.808,"8,600,000",9.860,"10,100,000",20.154,"12,400,000",33.694,"14,800,000",61.739,"16,100,000",,,,,,
