,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",2.032,"12,300,000",4.471,"11,100,000",9.641,"10,300,000",25.784,"9,690,000",53.942,"9,260,000",115.632,"8,640,000",319.479,"7,820,000",699.887,"7,140,000",,
"Amazon Web Services [c5d.large]",44.894,"556,000",101.392,"493,000",227.852,"438,000",669.236,"373,000",1505.366,"332,000",,,,,,,,
"Amazon Web Services [c7a.large]",17.247,"1,440,000",38.688,"1,290,000",86.526,"1,150,000",251.613,"993,000",563.462,"887,000",,,,,,,,
"Amazon Web Services [c7i.large]",27.493,"909,000",61.290,"815,000",137.360,"728,000",397.869,"628,000",885.669,"564,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.314,"10,800,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",40.504,"617,000",92.169,"542,000",206.227,"484,000",601.056,"415,000",1348.233,"370,000",3044.362,"328,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",2.619,"9,540,000",4.163,"12,000,000",8.329,"12,000,000",21.162,"11,800,000",42.747,"11,600,000",88.855,"11,200,000",242.395,"10,300,000",524.467,"9,530,000",1149.537,"8,690,000"
"Amazon Web Services [m6i.large]",36.626,"682,000",81.799,"611,000",181.101,"552,000",523.950,"477,000",1160.807,"430,000",2595.923,"385,000",,,,,,
"Amazon Web Services [m7a.large]",16.954,"1,470,000",38.275,"1,300,000",85.815,"1,160,000",248.250,"1,000,000",556.616,"898,000",1241.531,"805,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.047,"23,800,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",26.927,"928,000",60.208,"830,000",134.364,"744,000",389.008,"642,000",868.946,"575,000",1948.326,"513,000",,,,,,
"Amazon Web Services [r7a.large]",17.164,"1,450,000",38.974,"1,280,000",87.079,"1,140,000",253.256,"987,000",567.478,"881,000",1265.015,"790,000",3638.705,"687,000",,,,
"Amazon Web Services [r7i.large]",27.487,"909,000",61.282,"815,000",136.420,"733,000",393.828,"634,000",877.482,"569,000",1963.952,"509,000",,,,,,
"Amazon Web Services [t3.small]",53.928,"463,000",120.942,"413,000",269.950,"370,000",787.589,"317,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",56.601,"441,000",133.236,"375,000",297.709,"335,000",857.433,"291,000",1842.380,"271,000",4273.703,"233,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.035,"8,230,000",6.844,"7,300,000",15.443,"6,470,000",40.476,"6,170,000",75.225,"6,640,000",134.741,"7,420,000",,,,,,
