,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.995,"12,500,000",3.496,"14,300,000",6.608,"15,100,000",16.394,"15,200,000",32.405,"15,400,000",65.261,"15,300,000",175.568,"14,200,000",368.450,"13,500,000",,
"Amazon Web Services [c5d.large]",23.020,"1,080,000",51.933,"962,000",115.545,"865,000",347.377,"719,000",761.573,"656,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.660,"9,390,000",5.211,"9,590,000",10.463,"9,550,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",21.764,"1,140,000",47.366,"1,050,000",103.878,"962,000",301.822,"828,000",667.984,"748,000",1446.431,"691,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.809,"13,800,000",2.897,"17,200,000",5.198,"19,200,000",12.784,"19,500,000",24.109,"20,700,000",46.848,"21,300,000",128.121,"19,500,000",273.767,"18,200,000",587.606,"17,000,000"
"Amazon Web Services [m6i.large]",17.760,"1,400,000",38.962,"1,280,000",84.627,"1,180,000",243.207,"1,020,000",532.517,"938,000",1181.756,"846,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.854,"13,400,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",13.113,"1,900,000",29.310,"1,700,000",65.110,"1,530,000",197.300,"1,260,000",439.581,"1,130,000",974.527,"1,020,000",,,,,,
"Amazon Web Services [t3.small]",27.039,"924,000",60.883,"821,000",133.635,"748,000",396.351,"630,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",28.039,"891,000",60.465,"826,000",131.475,"760,000",386.017,"647,000",840.644,"594,000",1859.021,"537,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.686,"6,780,000",6.761,"7,390,000",11.488,"8,700,000",23.505,"10,600,000",39.707,"12,500,000",67.805,"14,700,000",137.157,"18,200,000",,,,
