,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.951,"26,200,000",2.001,"24,900,000",4.276,"23,300,000",11.083,"22,500,000",22.979,"21,700,000",48.376,"20,600,000",133.667,"18,700,000",291.095,"17,100,000",,
"Amazon Web Services [c5d.large]",18.176,"1,370,000",40.664,"1,220,000",92.922,"1,070,000",271.444,"921,000",619.632,"806,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.273,"19,600,000",2.803,"17,800,000",5.945,"16,800,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",16.551,"1,510,000",37.675,"1,320,000",85.938,"1,160,000",248.272,"1,000,000",559.256,"894,000",1247.056,"801,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.132,"22,000,000",1.785,"28,000,000",3.610,"27,700,000",9.043,"27,600,000",18.149,"27,500,000",37.205,"26,800,000",100.953,"24,700,000",218.106,"22,900,000",476.090,"21,000,000"
"Amazon Web Services [m6i.large]",14.455,"1,720,000",32.856,"1,520,000",74.081,"1,340,000",212.148,"1,170,000",473.941,"1,050,000",1052.298,"950,000",,,,,,
"Amazon Web Services [m7a.large]",6.882,"3,630,000",15.569,"3,210,000",35.025,"2,850,000",102.152,"2,440,000",228.324,"2,180,000",505.970,"1,970,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.613,"40,700,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",10.802,"2,310,000",24.287,"2,050,000",54.810,"1,820,000",158.006,"1,580,000",356.289,"1,400,000",794.966,"1,250,000",,,,,,
"Amazon Web Services [t3.small]",21.362,"1,170,000",48.768,"1,020,000",110.433,"905,000",321.678,"777,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",21.786,"1,140,000",49.201,"1,010,000",111.359,"897,000",322.582,"774,000",724.836,"689,000",1621.120,"616,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.510,"16,500,000",3.232,"15,400,000",6.978,"14,300,000",17.964,"13,900,000",32.738,"15,200,000",55.138,"18,100,000",109.314,"22,800,000",,,,
