,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.974,"12,600,000",3.468,"14,400,000",6.647,"15,000,000",16.324,"15,300,000",32.357,"15,400,000",65.357,"15,300,000",174.811,"14,300,000",367.999,"13,500,000",,
"Amazon Web Services [c5d.large]",23.122,"1,080,000",52.244,"957,000",116.017,"861,000",345.401,"723,000",757.201,"660,000",,,,,,,,
"Amazon Web Services [c7a.large]",9.127,"2,730,000",19.809,"2,520,000",43.948,"2,270,000",130.810,"1,910,000",288.553,"1,730,000",,,,,,,,
"Amazon Web Services [c7i.large]",13.368,"1,870,000",30.015,"1,660,000",66.724,"1,490,000",200.296,"1,240,000",445.715,"1,120,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",3.453,"7,240,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",21.825,"1,140,000",47.079,"1,060,000",102.598,"974,000",300.841,"831,000",663.195,"753,000",1508.257,"663,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.788,"13,900,000",2.902,"17,200,000",5.113,"19,500,000",12.711,"19,600,000",24.090,"20,700,000",46.860,"21,300,000",127.698,"19,500,000",273.562,"18,200,000",585.772,"17,000,000"
"Amazon Web Services [m6i.large]",17.724,"1,410,000",38.881,"1,280,000",84.424,"1,180,000",242.489,"1,030,000",531.221,"941,000",1179.391,"847,000",,,,,,
"Amazon Web Services [m7a.large]",9.037,"2,760,000",19.693,"2,530,000",43.194,"2,310,000",129.534,"1,920,000",284.998,"1,750,000",621.087,"1,610,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.894,"13,100,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",13.143,"1,900,000",29.264,"1,700,000",65.007,"1,530,000",196.397,"1,270,000",438.001,"1,140,000",973.364,"1,020,000",,,,,,
"Amazon Web Services [r7a.large]",9.066,"2,750,000",19.835,"2,520,000",44.296,"2,250,000",132.303,"1,880,000",292.413,"1,700,000",632.406,"1,580,000",1630.176,"1,530,000",,,,
"Amazon Web Services [r7i.large]",13.280,"1,880,000",29.539,"1,690,000",65.444,"1,520,000",197.037,"1,260,000",435.346,"1,140,000",975.104,"1,020,000",,,,,,
"Amazon Web Services [t3.small]",26.709,"936,000",60.172,"830,000",132.147,"756,000",392.358,"637,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",31.913,"783,000",68.314,"731,000",148.992,"671,000",462.549,"540,000",1066.602,"468,000",2119.947,"471,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.929,"6,360,000",6.574,"7,600,000",11.668,"8,570,000",24.096,"10,300,000",39.352,"12,700,000",73.251,"13,600,000",,,,,,
