,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.953,"26,200,000",1.988,"25,100,000",4.251,"23,500,000",11.042,"22,600,000",22.909,"21,800,000",48.233,"20,700,000",133.136,"18,700,000",290.541,"17,200,000",,
"Amazon Web Services [c5d.large]",17.966,"1,390,000",40.966,"1,220,000",93.271,"1,070,000",273.158,"915,000",618.280,"808,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.286,"19,400,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",16.553,"1,510,000",37.712,"1,320,000",85.299,"1,170,000",247.696,"1,000,000",553.962,"902,000",1288.871,"775,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.129,"22,100,000",1.776,"28,100,000",3.571,"28,000,000",8.983,"27,800,000",18.024,"27,700,000",37.035,"27,000,000",100.610,"24,800,000",217.414,"22,900,000",474.034,"21,000,000"
"Amazon Web Services [m6i.large]",14.432,"1,730,000",32.709,"1,520,000",73.892,"1,350,000",211.551,"1,180,000",471.485,"1,060,000",1049.244,"953,000",,,,,,
"Amazon Web Services [m7i.large]",10.797,"2,310,000",24.133,"2,070,000",54.531,"1,830,000",157.390,"1,580,000",354.406,"1,410,000",792.421,"1,260,000",,,,,,
"Amazon Web Services [t3.small]",21.366,"1,170,000",48.381,"1,030,000",109.813,"910,000",319.349,"782,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",24.335,"1,020,000",57.146,"874,000",127.967,"781,000",364.820,"685,000",776.528,"643,000",1648.376,"606,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.508,"16,500,000",3.250,"15,300,000",6.880,"14,500,000",17.738,"14,000,000",32.614,"15,300,000",57.758,"17,300,000",,,,,,
