,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.890,"13,200,000",3.269,"15,200,000",6.095,"16,400,000",15.481,"16,100,000",30.888,"16,100,000",62.474,"16,000,000",168.322,"14,800,000",353.257,"14,100,000",,
"Amazon Web Services [c5d.large]",22.323,"1,110,000",50.525,"989,000",112.060,"892,000",333.340,"749,000",734.607,"680,000",,,,,,,,
"Amazon Web Services [c7a.large]",8.775,"2,840,000",19.081,"2,620,000",42.502,"2,350,000",126.345,"1,970,000",279.003,"1,790,000",,,,,,,,
"Amazon Web Services [c7i.large]",12.869,"1,940,000",28.962,"1,720,000",64.406,"1,550,000",193.918,"1,280,000",432.038,"1,150,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",3.308,"7,550,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",21.098,"1,180,000",45.506,"1,090,000",99.184,"1,000,000",290.654,"860,000",640.411,"780,000",1458.588,"685,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.567,"15,900,000",2.522,"19,800,000",4.752,"21,000,000",11.848,"21,100,000",22.674,"22,000,000",44.793,"22,300,000",123.390,"20,200,000",263.800,"18,900,000",565.998,"17,600,000"
"Amazon Web Services [m6i.large]",17.113,"1,460,000",37.452,"1,330,000",81.650,"1,220,000",234.503,"1,060,000",516.849,"967,000",1164.889,"858,000",,,,,,
"Amazon Web Services [m7a.large]",8.684,"2,870,000",18.993,"2,630,000",41.700,"2,390,000",125.105,"1,990,000",275.958,"1,810,000",600.844,"1,660,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.660,"15,000,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",12.611,"1,980,000",28.260,"1,760,000",62.769,"1,590,000",190.532,"1,310,000",424.429,"1,170,000",944.477,"1,050,000",,,,,,
"Amazon Web Services [t3.small]",25.725,"971,000",58.161,"859,000",128.201,"780,000",379.072,"659,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",26.702,"936,000",57.837,"864,000",126.230,"792,000",370.452,"674,000",811.198,"616,000",1795.271,"557,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.386,"7,380,000",6.120,"8,160,000",10.980,"9,100,000",23.752,"10,500,000",40.937,"12,200,000",71.351,"14,000,000",,,,,,
