,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.884,"13,200,000",3.348,"14,900,000",6.363,"15,700,000",15.809,"15,800,000",31.302,"15,900,000",63.287,"15,800,000",170.239,"14,600,000",357.108,"14,000,000",,
"Amazon Web Services [c5d.large]",22.336,"1,110,000",50.583,"988,000",112.199,"891,000",333.932,"748,000",735.386,"679,000",,,,,,,,
"Amazon Web Services [c7a.large]",8.807,"2,830,000",19.118,"2,610,000",42.572,"2,340,000",126.155,"1,980,000",279.468,"1,780,000",,,,,,,,
"Amazon Web Services [c7i.large]",12.852,"1,940,000",29.030,"1,720,000",64.697,"1,540,000",194.639,"1,280,000",433.804,"1,150,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",3.290,"7,590,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",21.022,"1,180,000",45.474,"1,090,000",99.484,"1,000,000",292.742,"853,000",645.569,"774,000",1410.559,"708,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.664,"15,000,000",2.769,"18,000,000",4.992,"20,000,000",12.101,"20,600,000",23.240,"21,500,000",45.166,"22,100,000",124.122,"20,100,000",264.944,"18,800,000",570.036,"17,500,000"
"Amazon Web Services [m6i.large]",17.058,"1,460,000",37.535,"1,330,000",81.800,"1,220,000",235.369,"1,060,000",515.994,"969,000",1146.326,"872,000",,,,,,
"Amazon Web Services [m7a.large]",8.712,"2,860,000",19.015,"2,620,000",41.775,"2,390,000",125.238,"1,990,000",276.448,"1,800,000",602.780,"1,650,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.786,"13,900,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",12.606,"1,980,000",28.262,"1,760,000",62.842,"1,590,000",190.398,"1,310,000",425.645,"1,170,000",944.275,"1,050,000",,,,,,
"Amazon Web Services [t3.small]",25.927,"964,000",58.596,"853,000",128.457,"778,000",380.994,"656,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",30.837,"810,000",63.283,"790,000",132.412,"755,000",420.379,"594,000",914.970,"546,000",1914.523,"522,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.910,"6,390,000",6.625,"7,540,000",11.337,"8,820,000",23.044,"10,800,000",38.637,"12,900,000",71.251,"14,000,000",,,,,,
