,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.936,"26,700,000",1.963,"25,400,000",4.192,"23,800,000",10.881,"22,900,000",22.600,"22,100,000",47.508,"21,000,000",131.991,"18,900,000",,,,
"Amazon Web Services [c5d.large]",17.669,"1,410,000",40.426,"1,230,000",91.957,"1,080,000",269.804,"926,000",609.798,"819,000",,,,,,,,
"Amazon Web Services [c7i.large]",10.817,"2,310,000",24.331,"2,050,000",55.078,"1,810,000",158.772,"1,570,000",356.312,"1,400,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.256,"19,900,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",16.238,"1,530,000",36.879,"1,350,000",83.653,"1,190,000",242.776,"1,020,000",545.032,"917,000",1237.724,"807,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.102,"22,600,000",1.750,"28,500,000",3.536,"28,200,000",8.893,"28,100,000",17.873,"27,900,000",36.673,"27,200,000",99.381,"25,100,000",213.748,"23,300,000",468.713,"21,300,000"
"Amazon Web Services [m6i.large]",14.249,"1,750,000",32.347,"1,540,000",72.878,"1,370,000",209.224,"1,190,000",468.200,"1,060,000",1042.184,"959,000",,,,,,
"Amazon Web Services [m7a.large]",6.767,"3,690,000",15.309,"3,260,000",34.455,"2,900,000",100.416,"2,480,000",224.411,"2,220,000",498.740,"2,000,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.578,"43,200,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",10.626,"2,350,000",23.839,"2,090,000",53.993,"1,850,000",155.521,"1,600,000",349.741,"1,420,000",782.497,"1,270,000",,,,,,
"Amazon Web Services [t3.small]",21.050,"1,180,000",47.720,"1,040,000",108.765,"919,000",315.744,"791,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",22.361,"1,110,000",49.018,"1,020,000",111.256,"898,000",337.493,"740,000",779.707,"641,000",1698.826,"588,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.468,"17,000,000",3.154,"15,800,000",6.693,"14,900,000",17.623,"14,100,000",32.249,"15,500,000",57.149,"17,400,000",,,,,,
