,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.622,"15,400,000",2.807,"17,800,000",5.325,"18,700,000",13.354,"18,700,000",26.386,"18,900,000",52.954,"18,800,000",142.241,"17,500,000",298.882,"16,700,000",,
"Amazon Web Services [c5d.large]",18.813,"1,320,000",43.314,"1,150,000",95.341,"1,040,000",282.660,"884,000",619.583,"806,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.395,"10,400,000",4.580,"10,900,000",8.014,"12,400,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",17.555,"1,420,000",38.549,"1,290,000",82.987,"1,200,000",243.893,"1,020,000",536.967,"931,000",1163.188,"859,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.309,"19,000,000",2.261,"22,100,000",4.084,"24,400,000",10.220,"24,400,000",19.372,"25,800,000",37.786,"26,400,000",104.803,"23,800,000",223.241,"22,300,000",478.297,"20,900,000"
"Amazon Web Services [m6i.large]",14.366,"1,740,000",31.609,"1,580,000",68.150,"1,460,000",195.739,"1,270,000",429.673,"1,160,000",953.300,"1,040,000",,,,,,
"Amazon Web Services [m7a.large]",7.320,"3,410,000",16.008,"3,120,000",34.902,"2,860,000",105.276,"2,370,000",231.346,"2,160,000",506.026,"1,970,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",1.624,"15,300,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",10.548,"2,370,000",23.669,"2,110,000",52.696,"1,890,000",160.784,"1,550,000",357.112,"1,400,000",798.855,"1,250,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",1.720,"14,500,000",3.002,"16,600,000",5.546,"18,000,000",13.922,"17,900,000",27.194,"18,300,000",54.927,"18,200,000",145.426,"17,100,000",,,,
"Amazon Web Services [t3.small]",21.580,"1,150,000",49.313,"1,010,000",108.569,"921,000",321.499,"777,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",22.773,"1,090,000",49.409,"1,010,000",107.334,"931,000",316.074,"790,000",685.660,"729,000",1505.078,"664,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",3.244,"7,700,000",5.433,"9,200,000",9.468,"10,500,000",20.319,"12,300,000",34.251,"14,500,000",58.956,"16,900,000",111.223,"22,400,000",,,,
