,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",1.825,"13,600,000",4.033,"12,300,000",8.862,"11,200,000",23.831,"10,400,000",50.153,"9,960,000",107.019,"9,340,000",297.698,"8,390,000",655.152,"7,630,000",,
"Amazon Web Services [c5d.large]",39.315,"635,000",89.611,"557,000",204.489,"489,000",602.308,"415,000",1383.383,"361,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",2.230,"11,200,000",5.706,"8,760,000",12.920,"7,730,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",36.633,"682,000",83.717,"597,000",189.501,"527,000",557.636,"448,000",1257.467,"397,000",2816.662,"355,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",2.407,"10,300,000",3.792,"13,100,000",7.674,"13,000,000",19.571,"12,700,000",39.948,"12,500,000",83.041,"12,000,000",226.994,"11,000,000",492.549,"10,100,000",1073.798,"9,310,000"
"Amazon Web Services [m6i.large]",31.997,"781,000",72.314,"691,000",162.941,"613,000",472.591,"528,000",1063.825,"470,000",2367.996,"422,000",,,,,,
"Amazon Web Services [m7a.large]",15.218,"1,640,000",34.836,"1,430,000",78.692,"1,270,000",229.085,"1,090,000",515.571,"969,000",1160.747,"861,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.890,"28,000,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",24.057,"1,030,000",54.375,"919,000",122.554,"815,000",356.382,"701,000",803.985,"621,000",1806.846,"553,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",1.900,"13,100,000",4.208,"11,800,000",9.197,"10,800,000",24.826,"10,000,000",51.893,"9,630,000",110.449,"9,050,000",309.420,"8,070,000",,,,
"Amazon Web Services [t3.small]",47.116,"530,000",106.801,"468,000",243.482,"410,000",714.366,"349,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",48.155,"519,000",110.447,"452,000",249.709,"400,000",727.623,"343,000",1633.047,"306,000",3648.106,"274,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",2.810,"8,890,000",6.419,"7,780,000",14.579,"6,850,000",39.343,"6,350,000",71.435,"6,990,000",123.969,"8,060,000",242.980,"10,200,000",,,,
