,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Amazon Web Services [c5d.24xlarge]",0.780,"32,000,000",1.649,"30,300,000",3.521,"28,400,000",9.272,"26,900,000",19.138,"26,100,000",40.128,"24,900,000",109.621,"22,800,000",239.357,"20,800,000",524.153,"19,000,000",1493.451,"16,700,000"
"Amazon Web Services [c5d.large]",13.966,"1,790,000",31.666,"1,570,000",72.292,"1,380,000",213.377,"1,170,000",479.089,"1,040,000",,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.185,"21,000,000",2.343,"21,300,000",5.105,"19,500,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",13.346,"1,870,000",30.500,"1,630,000",69.175,"1,440,000",201.282,"1,240,000",453.880,"1,100,000",1016.013,"984,000",,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.985,"25,300,000",1.577,"31,700,000",3.062,"32,600,000",7.771,"32,100,000",15.361,"32,500,000",31.370,"31,800,000",84.514,"29,500,000",181.989,"27,400,000",397.106,"25,100,000",,
"Amazon Web Services [m6i.large]",11.257,"2,220,000",25.455,"1,960,000",57.483,"1,730,000",167.676,"1,490,000",372.746,"1,340,000",834.918,"1,190,000",,,,,,,,
"Amazon Web Services [m7a.large]",5.730,"4,360,000",13.072,"3,820,000",29.281,"3,410,000",86.205,"2,900,000",192.726,"2,590,000",431.796,"2,310,000",,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.513,"48,700,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.846,"2,820,000",20.026,"2,490,000",45.239,"2,210,000",131.755,"1,890,000",295.885,"1,680,000",668.206,"1,490,000",,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.812,"30,700,000",1.728,"28,900,000",3.662,"27,300,000",9.558,"26,100,000",19.623,"25,400,000",41.240,"24,200,000",112.206,"22,200,000",,,,,,
"Amazon Web Services [t3.small]",16.860,"1,480,000",37.993,"1,310,000",86.451,"1,150,000",255.743,"977,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",17.657,"1,410,000",39.845,"1,250,000",90.745,"1,100,000",266.944,"936,000",592.696,"843,000",1317.728,"758,000",,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.284,"19,400,000",2.536,"19,700,000",5.525,"18,000,000",14.489,"17,200,000",26.208,"19,000,000",44.741,"22,300,000",94.332,"26,500,000",,,,,,
