,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.625,"40,000,000",1.347,"37,100,000",2.890,"34,600,000",7.580,"32,900,000",15.748,"31,700,000",33.328,"30,000,000",90.848,"27,500,000",198.281,"25,200,000",435.578,"22,900,000",1246.450,"20,000,000",,
"Amazon Web Services [c5d.large]",11.588,"2,150,000",26.249,"1,900,000",59.830,"1,670,000",176.127,"1,410,000",400.173,"1,240,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.912,"27,400,000",1.899,"26,300,000",4.194,"23,800,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",11.080,"2,250,000",25.121,"1,990,000",57.405,"1,740,000",166.543,"1,500,000",378.338,"1,320,000",849.059,"1,170,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.814,"30,700,000",1.303,"38,300,000",2.515,"39,700,000",6.349,"39,300,000",12.670,"39,400,000",26.036,"38,400,000",70.010,"35,700,000",150.811,"33,100,000",329.290,"30,300,000",929.941,"26,800,000",2022.990,"24,700,000"
"Amazon Web Services [m6i.large]",9.309,"2,680,000",21.055,"2,370,000",47.488,"2,100,000",138.283,"1,800,000",311.792,"1,600,000",698.278,"1,430,000",,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.409,"61,100,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",7.305,"3,420,000",16.460,"3,030,000",37.369,"2,670,000",108.536,"2,300,000",244.502,"2,040,000",552.952,"1,800,000",,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.645,"38,700,000",1.394,"35,800,000",2.966,"33,700,000",7.805,"32,000,000",16.156,"30,900,000",34.118,"29,300,000",92.742,"26,900,000",,,,,,,,
"Amazon Web Services [t3.small]",13.830,"1,800,000",31.264,"1,590,000",71.335,"1,400,000",209.146,"1,190,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",14.678,"1,700,000",32.973,"1,510,000",74.948,"1,330,000",215.660,"1,150,000",490.823,"1,010,000",1126.230,"887,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.007,"24,800,000",2.067,"24,100,000",4.546,"21,900,000",11.938,"20,900,000",21.699,"23,000,000",37.054,"26,900,000",77.943,"32,000,000",,,,,,,,
