,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.733,"34,100,000",1.545,"32,300,000",3.331,"30,000,000",8.725,"28,600,000",17.939,"27,800,000",37.665,"26,500,000",102.809,"24,300,000",224.089,"22,300,000",488.499,"20,400,000",1394.300,"17,900,000",,
"Amazon Web Services [c5d.large]",13.085,"1,910,000",29.716,"1,680,000",67.846,"1,470,000",199.272,"1,250,000",447.698,"1,110,000",,,,,,,,,,,,
"Amazon Web Services [c7a.large]",5.467,"4,570,000",12.512,"3,990,000",28.088,"3,560,000",81.553,"3,060,000",183.187,"2,720,000",,,,,,,,,,,,
"Amazon Web Services [c7i.large]",8.525,"2,930,000",19.297,"2,590,000",43.984,"2,270,000",126.844,"1,970,000",285.537,"1,750,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.071,"23,300,000",2.224,"22,400,000",4.846,"20,600,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",12.556,"1,990,000",28.549,"1,750,000",64.890,"1,540,000",188.722,"1,320,000",422.408,"1,180,000",949.047,"1,050,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.926,"26,900,000",1.489,"33,500,000",2.877,"34,700,000",7.333,"34,000,000",14.451,"34,500,000",29.424,"33,900,000",79.284,"31,500,000",170.628,"29,300,000",370.365,"27,000,000",1037.862,"24,000,000",2261.321,"22,100,000"
"Amazon Web Services [m6i.large]",10.544,"2,370,000",23.970,"2,080,000",53.941,"1,850,000",156.446,"1,590,000",347.425,"1,430,000",776.031,"1,280,000",,,,,,,,,,
"Amazon Web Services [m7a.large]",5.454,"4,580,000",12.477,"4,000,000",27.911,"3,580,000",81.286,"3,070,000",181.718,"2,750,000",406.593,"2,450,000",,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.508,"49,200,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.436,"2,960,000",19.056,"2,620,000",43.172,"2,310,000",124.701,"2,000,000",280.916,"1,770,000",631.283,"1,580,000",,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.761,"32,800,000",1.622,"30,800,000",3.451,"28,900,000",8.958,"27,900,000",18.435,"27,100,000",38.590,"25,900,000",105.226,"23,700,000",,,,,,,,
"Amazon Web Services [r7a.large]",5.475,"4,560,000",12.534,"3,980,000",28.107,"3,550,000",81.793,"3,050,000",183.622,"2,720,000",409.852,"2,430,000",1167.539,"2,140,000",,,,,,,,
"Amazon Web Services [r7i.large]",8.430,"2,960,000",18.986,"2,630,000",43.215,"2,310,000",124.420,"2,000,000",279.623,"1,780,000",629.598,"1,580,000",1814.030,"1,370,000",,,,,,,,
"Amazon Web Services [t3.small]",15.686,"1,590,000",35.551,"1,400,000",80.694,"1,230,000",236.880,"1,050,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",16.691,"1,490,000",37.791,"1,320,000",85.928,"1,160,000",248.910,"1,000,000",555.047,"900,000",1250.874,"799,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.257,"19,800,000",2.428,"20,500,000",5.243,"19,000,000",13.705,"18,200,000",24.733,"20,200,000",42.038,"23,700,000",89.687,"27,800,000",,,,,,,,
