,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Amazon Web Services [c5d.24xlarge]",0.733,"34,100,000",1.550,"32,200,000",3.327,"30,000,000",8.714,"28,600,000",17.965,"27,800,000",37.729,"26,500,000",102.960,"24,200,000",224.613,"22,200,000",,,,
"Amazon Web Services [c5d.large]",13.319,"1,870,000",30.323,"1,640,000",69.164,"1,440,000",203.730,"1,220,000",458.472,"1,090,000",,,,,,,,,,
"Amazon Web Services [c7i.large]",8.553,"2,920,000",19.319,"2,580,000",43.912,"2,270,000",126.507,"1,970,000",285.713,"1,750,000",,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.335,"18,700,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",12.637,"1,970,000",28.732,"1,740,000",65.145,"1,530,000",187.786,"1,330,000",424.170,"1,170,000",948.375,"1,050,000",,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.931,"26,800,000",1.502,"33,200,000",2.880,"34,700,000",7.317,"34,100,000",14.470,"34,500,000",29.495,"33,900,000",79.254,"31,500,000",170.427,"29,300,000",370.150,"27,000,000",1037.260,"24,100,000"
"Amazon Web Services [m6i.large]",10.520,"2,370,000",23.950,"2,080,000",54.036,"1,850,000",156.624,"1,590,000",348.265,"1,430,000",775.825,"1,280,000",,,,,,,,
"Amazon Web Services [m7a.large]",5.424,"4,600,000",12.485,"4,000,000",27.913,"3,580,000",81.262,"3,070,000",181.552,"2,750,000",406.627,"2,450,000",,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.492,"50,800,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.415,"2,970,000",19.043,"2,620,000",43.268,"2,310,000",124.583,"2,000,000",280.696,"1,780,000",630.402,"1,580,000",,,,,,,,
"Amazon Web Services [t3.small]",15.721,"1,590,000",35.428,"1,410,000",80.867,"1,230,000",237.052,"1,050,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",16.500,"1,510,000",37.715,"1,320,000",85.880,"1,160,000",249.274,"1,000,000",557.227,"897,000",1240.759,"805,000",,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.259,"19,800,000",2.434,"20,500,000",5.215,"19,100,000",13.750,"18,100,000",24.770,"20,100,000",41.933,"23,800,000",89.385,"27,900,000",,,,,,
