,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.762,"32,800,000",1.616,"30,900,000",3.440,"29,000,000",9.070,"27,500,000",18.711,"26,700,000",39.355,"25,400,000",107.285,"23,300,000",234.615,"21,300,000",,
"Amazon Web Services [c5d.large]",13.871,"1,800,000",31.479,"1,580,000",72.146,"1,380,000",213.244,"1,170,000",479.443,"1,040,000",,,,,,,,
"Amazon Web Services [c7a.large]",5.701,"4,380,000",13.001,"3,840,000",29.222,"3,420,000",85.546,"2,920,000",191.831,"2,600,000",,,,,,,,
"Amazon Web Services [c7i.large]",8.872,"2,810,000",20.082,"2,480,000",45.648,"2,190,000",132.668,"1,880,000",298.622,"1,670,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.380,"18,100,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",13.089,"1,910,000",29.973,"1,660,000",68.243,"1,460,000",197.858,"1,260,000",444.883,"1,120,000",993.572,"1,000,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",0.984,"25,400,000",1.566,"31,900,000",3.017,"33,100,000",7.642,"32,700,000",15.030,"33,200,000",30.847,"32,400,000",82.630,"30,200,000",178.104,"28,000,000",388.520,"25,700,000"
"Amazon Web Services [m6i.large]",10.961,"2,280,000",24.891,"2,000,000",56.383,"1,770,000",163.996,"1,520,000",364.226,"1,370,000",814.714,"1,220,000",,,,,,
"Amazon Web Services [m7a.large]",5.648,"4,420,000",12.932,"3,860,000",28.926,"3,450,000",85.174,"2,930,000",191.015,"2,610,000",425.235,"2,350,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.521,"47,900,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.732,"2,860,000",19.744,"2,530,000",44.886,"2,220,000",130.474,"1,910,000",293.280,"1,700,000",659.220,"1,510,000",,,,,,
"Amazon Web Services [r7a.large]",5.712,"4,370,000",13.030,"3,830,000",29.305,"3,410,000",85.967,"2,900,000",192.939,"2,590,000",428.525,"2,330,000",1208.385,"2,060,000",,,,
"Amazon Web Services [t3.small]",16.300,"1,530,000",37.061,"1,340,000",84.418,"1,180,000",248.179,"1,000,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",17.375,"1,430,000",39.371,"1,260,000",92.209,"1,080,000",264.070,"946,000",576.075,"867,000",1308.064,"764,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.309,"19,000,000",2.523,"19,800,000",5.367,"18,600,000",14.233,"17,500,000",25.691,"19,400,000",43.835,"22,800,000",92.739,"26,900,000",,,,
