,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.733,"34,100,000",1.550,"32,200,000",3.326,"30,000,000",8.706,"28,700,000",17.966,"27,800,000",37.618,"26,500,000",102.985,"24,200,000",224.987,"22,200,000",,
"Amazon Web Services [c5d.large]",13.324,"1,870,000",30.292,"1,650,000",69.232,"1,440,000",203.873,"1,220,000",458.761,"1,080,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.290,"19,300,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",12.604,"1,980,000",28.539,"1,750,000",65.174,"1,530,000",188.830,"1,320,000",423.451,"1,180,000",947.053,"1,050,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",0.937,"26,600,000",1.506,"33,200,000",2.888,"34,600,000",7.319,"34,100,000",14.449,"34,600,000",29.444,"33,900,000",79.181,"31,500,000",170.578,"29,300,000",369.977,"27,000,000"
"Amazon Web Services [m6i.large]",10.561,"2,360,000",23.931,"2,080,000",54.141,"1,840,000",156.502,"1,590,000",348.156,"1,430,000",775.968,"1,280,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.507,"49,300,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.402,"2,970,000",19.016,"2,620,000",43.129,"2,310,000",124.518,"2,000,000",280.526,"1,780,000",630.219,"1,580,000",,,,,,
"Amazon Web Services [t3.small]",15.711,"1,590,000",35.548,"1,400,000",80.991,"1,230,000",237.291,"1,050,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",16.724,"1,490,000",37.664,"1,320,000",85.849,"1,160,000",247.082,"1,010,000",554.920,"901,000",1224.834,"816,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.259,"19,800,000",2.390,"20,900,000",5.161,"19,300,000",13.808,"18,100,000",24.674,"20,200,000",42.135,"23,700,000",89.206,"28,000,000",,,,
