,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",3.475,"7,190,000",6.278,"7,960,000",12.089,"8,270,000",30.411,"8,220,000",61.070,"8,180,000",124.653,"8,020,000",338.524,"7,380,000",,,,
"Amazon Web Services [c5d.large]",43.977,"568,000",99.979,"500,000",222.366,"449,000",660.534,"378,000",1462.235,"341,000",,,,,,,,
"Amazon Web Services [c7a.large]",17.399,"1,430,000",38.062,"1,310,000",85.106,"1,170,000",251.288,"994,000",555.852,"899,000",,,,,,,,
"Amazon Web Services [c7i.large]",25.481,"981,000",57.687,"866,000",128.943,"775,000",388.067,"644,000",866.152,"577,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",5.600,"4,460,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",41.183,"607,000",89.590,"558,000",195.678,"511,000",575.893,"434,000",1287.934,"388,000",2815.097,"355,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",3.202,"7,800,000",5.038,"9,920,000",9.584,"10,400,000",23.782,"10,500,000",45.262,"11,000,000",90.308,"11,000,000",250.589,"9,970,000",533.643,"9,360,000",1153.016,"8,670,000"
"Amazon Web Services [m6i.large]",33.741,"740,000",74.458,"671,000",162.003,"617,000",466.467,"535,000",1032.021,"484,000",2296.281,"435,000",,,,,,
"Amazon Web Services [m7a.large]",17.224,"1,450,000",37.977,"1,310,000",83.470,"1,190,000",249.069,"1,000,000",549.877,"909,000",1211.145,"825,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",3.206,"7,790,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",25.055,"997,000",56.360,"887,000",125.988,"793,000",379.034,"659,000",850.151,"588,000",1898.738,"526,000",,,,,,
"Amazon Web Services [r7a.large]",17.412,"1,430,000",38.284,"1,300,000",85.733,"1,160,000",253.533,"986,000",562.011,"889,000",1227.745,"814,000",3252.849,"768,000",,,,
"Amazon Web Services [t3.small]",50.871,"491,000",115.793,"431,000",254.036,"393,000",754.174,"331,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",5.755,"4,340,000",11.718,"4,260,000",21.918,"4,560,000",47.321,"5,280,000",81.084,"6,160,000",145.362,"6,870,000",,,,,,
