,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.767,"32,500,000",1.598,"31,200,000",3.421,"29,200,000",8.920,"28,000,000",18.313,"27,300,000",38.282,"26,100,000",104.784,"23,800,000",228.109,"21,900,000",,
"Amazon Web Services [c5d.large]",13.636,"1,830,000",30.936,"1,610,000",70.615,"1,410,000",207.659,"1,200,000",465.966,"1,070,000",,,,,,,,
"Amazon Web Services [c7a.large]",5.582,"4,470,000",12.724,"3,920,000",28.558,"3,500,000",83.055,"3,010,000",186.009,"2,680,000",,,,,,,,
"Amazon Web Services [c7i.large]",8.709,"2,870,000",19.688,"2,530,000",44.672,"2,230,000",129.210,"1,930,000",290.503,"1,720,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.310,"19,000,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",12.874,"1,940,000",29.051,"1,720,000",66.057,"1,510,000",190.573,"1,310,000",429.334,"1,160,000",960.027,"1,040,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",0.959,"26,000,000",1.551,"32,200,000",2.949,"33,900,000",7.477,"33,400,000",14.740,"33,900,000",30.052,"33,200,000",80.676,"30,900,000",173.561,"28,800,000",376.144,"26,500,000"
"Amazon Web Services [m6i.large]",10.759,"2,320,000",24.562,"2,030,000",55.138,"1,810,000",158.886,"1,570,000",352.667,"1,410,000",785.738,"1,270,000",,,,,,
"Amazon Web Services [m7a.large]",5.564,"4,490,000",12.683,"3,940,000",28.356,"3,520,000",82.476,"3,030,000",184.440,"2,710,000",412.177,"2,420,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.562,"44,400,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.583,"2,910,000",19.267,"2,590,000",43.853,"2,280,000",126.867,"1,970,000",285.153,"1,750,000",639.460,"1,560,000",,,,,,
"Amazon Web Services [t3.small]",15.944,"1,560,000",36.338,"1,370,000",82.495,"1,210,000",241.873,"1,030,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",16.913,"1,470,000",38.172,"1,300,000",86.310,"1,150,000",249.099,"1,000,000",559.971,"892,000",1243.952,"803,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.581,"15,800,000",2.720,"18,300,000",5.880,"17,000,000",14.954,"16,700,000",27.590,"18,100,000",48.961,"20,400,000",90.597,"27,500,000",,,,
