,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,,250b,,500b,
"Amazon Web Services [c5d.24xlarge]",0.261,"95,700,000",0.528,"94,600,000",1.130,"88,400,000",2.882,"86,700,000",5.900,"84,700,000",12.251,"81,600,000",33.601,"74,400,000",73.243,"68,200,000",159.600,"62,600,000",454.525,"55,000,000",,,,,,,,
"Amazon Web Services [c5d.large]",4.395,"5,680,000",10.032,"4,980,000",22.512,"4,440,000",66.458,"3,760,000",149.282,"3,340,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [hpc6a.48xlarge]",0.318,"78,600,000",0.687,"72,700,000",1.422,"70,300,000",3.453,"72,400,000",6.471,"77,200,000",12.435,"80,400,000",31.694,"78,800,000",67.529,"74,000,000",143.148,"69,800,000",400.840,"62,300,000",777.696,"64,200,000",,,,,,
"Amazon Web Services [hpc7a.96xlarge]",0.213,"117,000,000",0.279,"179,000,000",0.635,"157,000,000",1.716,"145,000,000",3.621,"138,000,000",6.265,"159,000,000",12.500,"200,000,000",22.377,"223,000,000",44.059,"226,000,000",120.282,"207,000,000",275.297,"181,000,000",672.558,"148,000,000",,,,
"Amazon Web Services [m5zn.metal]",0.299,"83,600,000",0.630,"79,300,000",1.294,"77,200,000",3.396,"73,600,000",7.142,"70,000,000",15.318,"65,200,000",42.946,"58,200,000",95.352,"52,400,000",207.677,"48,100,000",595.381,"41,900,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.375,"66,600,000",0.692,"72,200,000",1.490,"67,100,000",3.906,"64,000,000",7.502,"66,600,000",13.929,"71,700,000",33.712,"74,100,000",68.931,"72,500,000",145.424,"68,700,000",404.037,"61,800,000",973.619,"51,300,000",1814.473,"55,100,000",,,,
"Amazon Web Services [m6a.large]",4.125,"6,060,000",9.430,"5,300,000",21.148,"4,720,000",61.867,"4,040,000",137.843,"3,620,000",309.809,"3,220,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.293,"85,300,000",0.480,"104,000,000",0.929,"107,000,000",2.352,"106,000,000",4.672,"107,000,000",9.403,"106,000,000",24.600,"101,000,000",51.899,"96,300,000",110.589,"90,400,000",316.183,"79,000,000",719.798,"69,400,000",1629.520,"61,300,000",,,,
"Amazon Web Services [m6i.large]",3.463,"7,210,000",8.003,"6,240,000",17.839,"5,600,000",51.834,"4,820,000",115.697,"4,320,000",257.521,"3,880,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7a.48xlarge]",0.216,"115,000,000",0.285,"175,000,000",0.642,"155,000,000",1.776,"140,000,000",3.728,"134,000,000",6.547,"152,000,000",13.554,"184,000,000",25.334,"197,000,000",51.134,"195,000,000",140.286,"178,000,000",321.970,"155,000,000",771.266,"129,000,000",,,,
