,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.261,"95,700,000",0.530,"94,300,000",1.135,"88,100,000",2.876,"86,900,000",5.879,"85,000,000",12.257,"81,500,000",33.612,"74,300,000",73.426,"68,000,000",159.929,"62,500,000",455.776,"54,800,000",,,,
"Amazon Web Services [c5d.large]",4.434,"5,630,000",10.159,"4,920,000",23.135,"4,320,000",68.075,"3,670,000",152.775,"3,270,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.455,"54,900,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",4.133,"6,040,000",9.453,"5,280,000",21.218,"4,710,000",62.125,"4,020,000",138.203,"3,610,000",310.935,"3,210,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.291,"85,900,000",0.487,"102,000,000",0.925,"108,000,000",2.364,"105,000,000",4.698,"106,000,000",9.425,"106,000,000",25.573,"97,700,000",54.900,"91,000,000",119.624,"83,500,000",331.545,"75,400,000",735.377,"67,900,000",1610.449,"62,000,000"
"Amazon Web Services [m6i.large]",3.479,"7,180,000",7.985,"6,260,000",17.874,"5,590,000",51.881,"4,810,000",115.719,"4,320,000",257.972,"3,870,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",1.668,"14,900,000",3.935,"12,700,000",8.733,"11,400,000",25.574,"9,770,000",56.641,"8,820,000",128.477,"7,780,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.188,"132,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",2.663,"9,380,000",6.070,"8,230,000",13.607,"7,340,000",39.748,"6,280,000",88.558,"5,640,000",200.911,"4,970,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",5.215,"4,790,000",12.015,"4,160,000",26.983,"3,700,000",78.929,"3,160,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",5.516,"4,530,000",12.635,"3,950,000",28.356,"3,520,000",81.053,"3,080,000",181.197,"2,750,000",405.053,"2,460,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.432,"57,800,000",0.841,"59,400,000",1.779,"56,200,000",4.475,"55,800,000",8.089,"61,800,000",14.076,"71,000,000",28.794,"86,800,000",,,,,,,,,,
