,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.096,"260,000,000",0.177,"282,000,000",0.333,"300,000,000",0.845,"295,000,000",1.710,"292,000,000",3.528,"283,000,000",9.229,"270,000,000",20.157,"248,000,000",42.606,"234,000,000",118.088,"211,000,000",,,,
"Amazon Web Services [c5d.large]",1.549,"16,100,000",3.470,"14,400,000",7.514,"13,300,000",21.760,"11,400,000",46.898,"10,600,000",564.521,"1,770,000",,,,,,,,,,,,
"Amazon Web Services [c7a.large]",0.646,"38,600,000",1.365,"36,600,000",2.991,"33,400,000",8.715,"28,600,000",18.867,"26,500,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",0.989,"25,200,000",2.138,"23,300,000",4.640,"21,500,000",13.792,"18,100,000",29.687,"16,800,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.188,"132,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",1.457,"17,100,000",3.229,"15,400,000",7.008,"14,200,000",19.767,"12,600,000",43.103,"11,600,000",94.057,"10,600,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.074,"337,000,000",0.136,"367,000,000",0.262,"381,000,000",0.662,"377,000,000",1.275,"392,000,000",2.595,"385,000,000",6.865,"364,000,000",14.913,"335,000,000",32.311,"309,000,000",86.830,"287,000,000",186.031,"268,000,000",396.335,"252,000,000"
"Amazon Web Services [m6i.large]",1.291,"19,300,000",2.823,"17,700,000",6.108,"16,300,000",17.013,"14,600,000",36.428,"13,700,000",78.005,"12,800,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.615,"40,600,000",1.350,"37,000,000",2.878,"34,700,000",8.710,"28,700,000",18.897,"26,400,000",40.780,"24,500,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.095,"263,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.974,"25,600,000",2.106,"23,700,000",4.552,"21,900,000",13.465,"18,500,000",29.154,"17,100,000",63.175,"15,800,000",,,,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.106,"235,000,000",0.186,"268,000,000",0.349,"286,000,000",0.885,"282,000,000",1.786,"279,000,000",3.616,"276,000,000",9.579,"260,000,000",,,,,,,,,,
"Amazon Web Services [r7a.large]",0.647,"38,600,000",1.375,"36,300,000",3.003,"33,300,000",8.684,"28,700,000",18.964,"26,300,000",40.837,"24,400,000",109.353,"22,800,000",,,,,,,,,,
"Amazon Web Services [r7i.large]",0.976,"25,600,000",2.098,"23,800,000",4.577,"21,800,000",13.504,"18,500,000",29.194,"17,100,000",63.086,"15,800,000",172.992,"14,400,000",,,,,,,,,,
"Amazon Web Services [t3.small]",1.916,"13,000,000",4.137,"12,000,000",9.136,"10,900,000",26.010,"9,610,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",1.957,"12,700,000",4.261,"11,700,000",9.164,"10,900,000",26.070,"9,580,000",56.708,"8,810,000",121.977,"8,190,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.158,"158,000,000",0.287,"174,000,000",0.548,"182,000,000",1.086,"230,000,000",1.696,"294,000,000",2.874,"347,000,000",6.787,"368,000,000",,,,,,,,,,
