,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",3.394,"7,360,000",6.180,"8,090,000",12.341,"8,100,000",30.906,"8,080,000",61.945,"8,070,000",125.990,"7,930,000",344.298,"7,260,000",,,,
"Amazon Web Services [c5d.large]",44.211,"565,000",100.245,"498,000",222.261,"449,000",662.927,"377,000",1467.072,"340,000",,,,,,,,
"Amazon Web Services [c7a.large]",17.431,"1,430,000",38.190,"1,300,000",85.179,"1,170,000",252.396,"990,000",559.972,"892,000",,,,,,,,
"Amazon Web Services [c7i.large]",25.689,"973,000",57.772,"865,000",129.347,"773,000",388.452,"643,000",869.536,"575,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",4.985,"5,010,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",41.466,"602,000",90.491,"552,000",197.841,"505,000",580.118,"430,000",1286.486,"388,000",2816.330,"355,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",3.190,"7,830,000",5.454,"9,160,000",9.864,"10,100,000",24.328,"10,200,000",46.265,"10,800,000",90.983,"10,900,000",251.952,"9,920,000",539.245,"9,270,000",1161.541,"8,600,000"
"Amazon Web Services [m6i.large]",33.755,"740,000",74.576,"670,000",162.450,"615,000",468.338,"533,000",1035.962,"482,000",2301.236,"434,000",,,,,,
"Amazon Web Services [m7a.large]",17.263,"1,440,000",38.101,"1,310,000",83.693,"1,190,000",250.529,"997,000",552.374,"905,000",1213.530,"824,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",3.145,"7,940,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",25.198,"992,000",56.314,"887,000",125.741,"795,000",379.734,"658,000",853.211,"586,000",1905.431,"524,000",,,,,,
"Amazon Web Services [t3.small]",51.043,"489,000",116.172,"430,000",255.283,"391,000",757.624,"329,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",7.404,"3,370,000",12.690,"3,940,000",22.185,"4,500,000",45.921,"5,440,000",77.166,"6,470,000",144.556,"6,910,000",,,,,,
