,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.156,"160,000,000",0.326,"153,000,000",0.661,"151,000,000",1.628,"153,000,000",3.270,"152,000,000",6.605,"151,000,000",17.206,"145,000,000",36.622,"136,000,000",77.470,"129,000,000",217.225,"115,000,000",,,,
"Amazon Web Services [c5d.large]",2.962,"8,440,000",6.479,"7,710,000",14.204,"7,040,000",39.358,"6,350,000",85.343,"5,850,000",,,,,,,,,,,,,,
"Amazon Web Services [c7a.large]",1.143,"21,800,000",2.504,"19,900,000",5.492,"18,200,000",15.584,"16,000,000",33.761,"14,800,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",1.889,"13,200,000",4.088,"12,200,000",8.853,"11,200,000",24.422,"10,200,000",52.896,"9,450,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.323,"77,300,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",2.669,"9,360,000",5.837,"8,560,000",12.697,"7,870,000",35.194,"7,100,000",76.699,"6,510,000",166.097,"6,020,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.184,"135,000,000",0.297,"168,000,000",0.567,"176,000,000",1.353,"184,000,000",2.584,"193,000,000",5.055,"197,000,000",13.040,"191,000,000",27.572,"181,000,000",58.328,"171,000,000",159.897,"156,000,000",341.162,"146,000,000",729.958,"136,000,000"
"Amazon Web Services [m6i.large]",2.378,"10,500,000",5.207,"9,600,000",11.207,"8,920,000",30.620,"8,160,000",65.671,"7,610,000",141.458,"7,060,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",1.110,"22,500,000",2.449,"20,400,000",5.367,"18,600,000",15.475,"16,100,000",33.626,"14,800,000",72.408,"13,800,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.131,"190,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",1.817,"13,700,000",3.965,"12,600,000",8.639,"11,500,000",23.967,"10,400,000",51.618,"9,680,000",111.737,"8,940,000",,,,,,,,,,,,
"Amazon Web Services [r7a.large]",1.144,"21,800,000",2.515,"19,800,000",5.505,"18,100,000",15.622,"16,000,000",33.979,"14,700,000",73.120,"13,600,000",199.984,"12,500,000",,,,,,,,,,
"Amazon Web Services [r7i.large]",1.839,"13,500,000",3.994,"12,500,000",8.676,"11,500,000",24.087,"10,300,000",51.934,"9,620,000",112.359,"8,900,000",311.772,"8,010,000",,,,,,,,,,
"Amazon Web Services [t3.small]",3.521,"7,100,000",7.697,"6,490,000",16.771,"5,960,000",46.184,"5,410,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",3.601,"6,940,000",7.802,"6,400,000",16.972,"5,890,000",46.795,"5,340,000",102.188,"4,890,000",224.259,"4,450,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.290,"86,200,000",0.525,"95,200,000",1.015,"98,500,000",2.447,"102,000,000",4.400,"113,000,000",7.490,"133,000,000",15.279,"163,000,000",,,,,,,,,,
