,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.157,"159,000,000",0.330,"151,000,000",0.657,"152,000,000",1.623,"154,000,000",3.262,"153,000,000",6.602,"151,000,000",17.271,"144,000,000",36.576,"136,000,000",77.422,"129,000,000",217.732,"114,000,000",,,,
"Amazon Web Services [c5d.large]",2.951,"8,470,000",6.472,"7,720,000",14.195,"7,040,000",39.252,"6,360,000",85.286,"5,860,000",,,,,,,,,,,,,,
"Amazon Web Services [c7a.large]",1.139,"21,900,000",2.496,"20,000,000",5.463,"18,300,000",15.552,"16,000,000",33.699,"14,800,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",1.883,"13,200,000",4.110,"12,100,000",8.804,"11,300,000",24.431,"10,200,000",52.841,"9,460,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.307,"81,400,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",2.655,"9,410,000",5.767,"8,670,000",12.621,"7,920,000",35.212,"7,090,000",76.387,"6,540,000",165.823,"6,030,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.186,"134,000,000",0.303,"165,000,000",0.565,"176,000,000",1.355,"184,000,000",2.582,"193,000,000",5.074,"197,000,000",13.125,"190,000,000",27.587,"181,000,000",58.446,"171,000,000",159.916,"156,000,000",342.392,"146,000,000",729.371,"137,000,000"
"Amazon Web Services [m6i.large]",2.377,"10,500,000",5.165,"9,680,000",11.085,"9,020,000",30.595,"8,170,000",65.506,"7,630,000",141.458,"7,060,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",1.107,"22,500,000",2.443,"20,400,000",5.364,"18,600,000",15.418,"16,200,000",33.533,"14,900,000",72.307,"13,800,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.130,"192,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",1.815,"13,700,000",3.972,"12,500,000",8.639,"11,500,000",23.982,"10,400,000",51.816,"9,640,000",112.009,"8,920,000",,,,,,,,,,,,
"Amazon Web Services [r7a.large]",1.143,"21,800,000",2.506,"19,900,000",5.501,"18,100,000",15.605,"16,000,000",33.906,"14,700,000",72.983,"13,700,000",199.737,"12,500,000",,,,,,,,,,
"Amazon Web Services [r7i.large]",1.852,"13,400,000",4.011,"12,400,000",8.673,"11,500,000",24.081,"10,300,000",51.854,"9,640,000",112.160,"8,910,000",311.725,"8,010,000",,,,,,,,,,
"Amazon Web Services [t3.small]",3.505,"7,130,000",7.668,"6,520,000",16.667,"5,990,000",46.195,"5,410,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",3.556,"7,030,000",7.668,"6,520,000",16.595,"6,020,000",46.009,"5,430,000",101.665,"4,910,000",220.036,"4,540,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.289,"86,500,000",0.526,"95,000,000",1.013,"98,700,000",2.495,"100,000,000",4.448,"112,000,000",7.494,"133,000,000",15.269,"163,000,000",,,,,,,,,,
