,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.969,"25,700,000",2.204,"22,600,000",4.870,"20,500,000",13.146,"19,000,000",27.940,"17,800,000",59.900,"16,600,000",168.437,"14,800,000",,,,
"Amazon Web Services [c5d.large]",20.471,"1,220,000",47.396,"1,050,000",108.770,"919,000",324.103,"771,000",748.539,"667,000",,,,,,,,
"Amazon Web Services [c7a.large]",8.164,"3,060,000",18.882,"2,640,000",43.409,"2,300,000",128.293,"1,940,000",293.551,"1,700,000",,,,,,,,
"Amazon Web Services [c7i.large]",12.810,"1,950,000",29.577,"1,690,000",67.886,"1,470,000",200.777,"1,240,000",456.567,"1,090,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.176,"21,200,000",3.106,"16,000,000",7.133,"14,000,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",19.364,"1,290,000",44.828,"1,110,000",102.594,"974,000",303.672,"823,000",693.432,"721,000",1581.105,"632,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.312,"19,000,000",2.051,"24,300,000",4.210,"23,700,000",10.895,"22,900,000",22.357,"22,300,000",46.924,"21,300,000",129.880,"19,200,000",280.872,"17,800,000",619.343,"16,100,000"
"Amazon Web Services [m6i.large]",16.360,"1,520,000",37.695,"1,320,000",85.983,"1,160,000",253.106,"987,000",574.869,"869,000",1294.202,"772,000",,,,,,
"Amazon Web Services [m7a.large]",8.048,"3,100,000",18.789,"2,660,000",43.072,"2,320,000",126.759,"1,970,000",291.294,"1,710,000",654.350,"1,520,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.448,"55,800,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",12.617,"1,980,000",29.197,"1,710,000",66.737,"1,490,000",197.459,"1,260,000",449.624,"1,110,000",1018.272,"982,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",1.006,"24,800,000",2.294,"21,700,000",5.026,"19,800,000",13.532,"18,400,000",28.671,"17,400,000",61.371,"16,200,000",172.571,"14,400,000",,,,
"Amazon Web Services [t3.small]",24.215,"1,030,000",55.664,"898,000",128.627,"777,000",382.376,"653,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",26.673,"937,000",62.409,"801,000",140.921,"709,000",420.250,"594,000",1002.051,"498,000",,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.527,"16,300,000",3.568,"14,000,000",8.490,"11,700,000",22.099,"11,300,000",40.495,"12,300,000",69.275,"14,400,000",,,,,,
