,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.928,"26,900,000",2.112,"23,600,000",4.634,"21,500,000",12.678,"19,700,000",26.772,"18,600,000",57.433,"17,400,000",160.693,"15,500,000",,,,
"Amazon Web Services [c5d.large]",19.325,"1,290,000",44.683,"1,110,000",103.071,"970,000",309.674,"807,000",715.652,"698,000",,,,,,,,
"Amazon Web Services [c7a.large]",7.875,"3,170,000",18.196,"2,740,000",41.484,"2,410,000",122.887,"2,030,000",278.558,"1,790,000",,,,,,,,
"Amazon Web Services [c7i.large]",12.367,"2,020,000",28.501,"1,750,000",65.029,"1,530,000",192.276,"1,300,000",435.885,"1,140,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.190,"21,000,000",2.948,"16,900,000",6.739,"14,800,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",18.661,"1,330,000",42.900,"1,160,000",97.929,"1,020,000",292.268,"855,000",661.744,"755,000",1510.384,"662,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.223,"20,400,000",1.950,"25,600,000",4.059,"24,600,000",10.455,"23,900,000",21.443,"23,300,000",44.960,"22,200,000",123.489,"20,200,000",268.634,"18,600,000",594.332,"16,800,000"
"Amazon Web Services [m6i.large]",15.776,"1,580,000",36.091,"1,380,000",82.389,"1,210,000",242.991,"1,020,000",547.949,"912,000",1236.649,"808,000",,,,,,
"Amazon Web Services [m7a.large]",7.786,"3,210,000",18.144,"2,750,000",41.071,"2,430,000",122.107,"2,040,000",276.854,"1,800,000",624.272,"1,600,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.461,"54,200,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",12.165,"2,050,000",28.064,"1,780,000",63.873,"1,560,000",189.018,"1,320,000",429.190,"1,160,000",971.911,"1,020,000",,,,,,
"Amazon Web Services [r5d.24xlarge]",0.963,"25,900,000",2.176,"22,900,000",4.797,"20,800,000",13.061,"19,100,000",27.418,"18,200,000",58.659,"17,000,000",164.043,"15,200,000",,,,
"Amazon Web Services [t3.small]",23.283,"1,070,000",53.681,"931,000",123.127,"812,000",367.868,"679,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",25.870,"966,000",59.839,"835,000",135.589,"737,000",401.750,"622,000",939.098,"532,000",2069.257,"483,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.442,"17,300,000",3.434,"14,500,000",8.030,"12,400,000",20.986,"11,900,000",38.825,"12,800,000",67.253,"14,800,000",,,,,,
