,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.251,"99,600,000",0.524,"95,400,000",1.131,"88,400,000",2.862,"87,300,000",5.867,"85,200,000",12.250,"81,600,000",33.612,"74,300,000",73.108,"68,300,000",159.410,"62,700,000",452.842,"55,200,000",,
"Amazon Web Services [c5d.large]",4.621,"5,410,000",10.536,"4,740,000",23.800,"4,200,000",69.823,"3,580,000",156.595,"3,190,000",,,,,,,,,,,,
"Amazon Web Services [c7a.large]",1.794,"13,900,000",4.076,"12,200,000",9.088,"11,000,000",26.492,"9,430,000",58.809,"8,500,000",,,,,,,,,,,,
"Amazon Web Services [c7i.large]",2.849,"8,770,000",6.449,"7,750,000",14.306,"6,990,000",41.576,"6,010,000",92.380,"5,410,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.470,"53,100,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",4.218,"5,920,000",9.639,"5,180,000",21.756,"4,590,000",62.753,"3,980,000",139.545,"3,580,000",313.777,"3,180,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.289,"86,500,000",0.475,"105,000,000",0.916,"109,000,000",2.334,"107,000,000",4.644,"107,000,000",9.379,"106,000,000",25.432,"98,300,000",54.543,"91,600,000",118.066,"84,600,000",327.597,"76,300,000",725.465,"68,900,000"
"Amazon Web Services [m6i.large]",3.706,"6,740,000",8.412,"5,940,000",18.708,"5,340,000",53.898,"4,630,000",119.949,"4,160,000",265.902,"3,760,000",,,,,,,,,,
"Amazon Web Services [m7a.large]",1.716,"14,500,000",4.044,"12,300,000",8.923,"11,200,000",26.148,"9,560,000",57.670,"8,670,000",130.176,"7,680,000",,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.156,"160,000,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",2.802,"8,920,000",6.312,"7,920,000",14.046,"7,110,000",40.900,"6,110,000",90.567,"5,520,000",205.079,"4,870,000",,,,,,,,,,
"Amazon Web Services [r7a.large]",1.800,"13,800,000",4.080,"12,200,000",9.094,"10,900,000",26.563,"9,410,000",59.067,"8,460,000",131.617,"7,590,000",375.660,"6,650,000",,,,,,,,
"Amazon Web Services [r7i.large]",2.825,"8,840,000",6.338,"7,880,000",14.137,"7,070,000",40.992,"6,090,000",90.639,"5,510,000",204.964,"4,870,000",579.970,"4,310,000",,,,,,,,
"Amazon Web Services [t3.small]",5.561,"4,490,000",12.561,"3,980,000",28.091,"3,550,000",81.918,"3,050,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",5.633,"4,430,000",12.735,"3,920,000",28.532,"3,500,000",82.292,"3,030,000",182.946,"2,730,000",416.277,"2,400,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.420,"59,500,000",0.793,"63,000,000",1.682,"59,400,000",4.314,"57,900,000",7.824,"63,900,000",13.579,"73,600,000",28.094,"88,900,000",,,,,,,,
