,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.094,"265,000,000",0.170,"294,000,000",0.315,"317,000,000",0.816,"306,000,000",1.645,"303,000,000",3.397,"294,000,000",8.904,"280,000,000",19.639,"254,000,000",41.839,"239,000,000",117.069,"213,000,000",,,,
"Amazon Web Services [c5d.large]",1.374,"18,100,000",3.052,"16,300,000",6.823,"14,600,000",20.323,"12,300,000",44.271,"11,200,000",543.665,"1,830,000",,,,,,,,,,,,
"Amazon Web Services [i3en.large]",1.193,"20,900,000",2.702,"18,500,000",6.029,"16,500,000",18.157,"13,700,000",39.503,"12,600,000",85.690,"11,600,000",221.758,"11,200,000",,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.132,"189,000,000",0.261,"191,000,000",0.475,"210,000,000",0.983,"254,000,000",1.705,"293,000,000",3.198,"312,000,000",8.361,"299,000,000",17.741,"281,000,000",38.205,"261,000,000",103.305,"242,000,000",,,,
"Amazon Web Services [m6a.large]",1.373,"18,200,000",3.043,"16,400,000",6.574,"15,200,000",18.910,"13,200,000",41.598,"12,000,000",91.699,"10,900,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.071,"352,000,000",0.131,"381,000,000",0.251,"398,000,000",0.638,"391,000,000",1.247,"400,000,000",2.515,"397,000,000",6.734,"371,000,000",14.652,"341,000,000",31.913,"313,000,000",85.842,"291,000,000",183.456,"272,000,000",390.922,"255,000,000"
"Amazon Web Services [m6i.large]",1.133,"22,000,000",2.513,"19,800,000",5.514,"18,100,000",15.792,"15,800,000",33.958,"14,700,000",73.309,"13,600,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.563,"44,400,000",1.208,"41,300,000",2.677,"37,300,000",8.302,"30,100,000",18.088,"27,600,000",39.065,"25,500,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.093,"268,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.881,"28,300,000",1.933,"25,800,000",4.207,"23,700,000",12.723,"19,600,000",27.787,"17,900,000",60.416,"16,500,000",,,,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.098,"255,000,000",0.178,"280,000,000",0.331,"302,000,000",0.858,"291,000,000",1.705,"293,000,000",3.510,"284,000,000",9.303,"268,000,000",,,,,,,,,,
"Amazon Web Services [t3.small]",1.640,"15,200,000",3.617,"13,800,000",8.087,"12,300,000",24.121,"10,300,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",1.779,"14,000,000",3.939,"12,600,000",8.526,"11,700,000",24.811,"10,000,000",54.044,"9,250,000",116.859,"8,550,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.152,"164,000,000",0.277,"180,000,000",0.531,"188,000,000",1.053,"237,000,000",1.654,"302,000,000",2.792,"358,000,000",8.122,"307,000,000",16.571,"301,000,000",33.730,"296,000,000",92.673,"269,000,000",191.480,"261,000,000",466.193,"214,000,000"
