,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.090,"277,000,000",0.172,"290,000,000",0.318,"314,000,000",0.822,"304,000,000",1.640,"304,000,000",3.407,"293,000,000",8.906,"280,000,000",19.671,"254,000,000",41.754,"239,000,000",116.603,"214,000,000",,,,
"Amazon Web Services [c5d.large]",1.370,"18,200,000",3.047,"16,400,000",6.803,"14,600,000",20.341,"12,200,000",44.236,"11,300,000",541.885,"1,840,000",,,,,,,,,,,,
"Amazon Web Services [i3en.large]",1.189,"21,000,000",2.691,"18,500,000",6.027,"16,500,000",18.138,"13,700,000",39.516,"12,600,000",85.471,"11,600,000",221.670,"11,200,000",,,,,,,,,,
"Amazon Web Services [m5zn.metal]",0.098,"255,000,000",0.186,"268,000,000",0.380,"263,000,000",1.009,"247,000,000",2.068,"241,000,000",4.354,"229,000,000",11.805,"211,000,000",25.049,"199,000,000",55.760,"179,000,000",152.143,"164,000,000",,,,
"Amazon Web Services [m6i.32xlarge]",0.070,"357,000,000",0.132,"378,000,000",0.254,"393,000,000",0.623,"401,000,000",1.251,"399,000,000",2.524,"396,000,000",6.761,"369,000,000",,,,,,,,,,
"Amazon Web Services [m6i.large]",1.130,"22,100,000",2.510,"19,900,000",5.491,"18,200,000",15.763,"15,800,000",33.941,"14,700,000",73.165,"13,600,000",,,,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.096,"260,000,000",0.178,"280,000,000",0.327,"305,000,000",0.854,"292,000,000",1.708,"292,000,000",3.471,"288,000,000",9.207,"271,000,000",,,,,,,,,,
"Amazon Web Services [t3.small]",1.641,"15,200,000",3.670,"13,600,000",8.109,"12,300,000",24.071,"10,300,000",,,,,,,,,,,,,,,,
"Amazon Web Services [z1d.12xlarge]",0.108,"231,000,000",0.199,"251,000,000",0.402,"248,000,000",1.081,"231,000,000",2.212,"226,000,000",4.682,"213,000,000",12.885,"194,000,000",27.615,"181,000,000",60.671,"164,000,000",162.708,"153,000,000",,,,
"Amazon Web Services [z1d.metal]",0.105,"238,000,000",0.199,"251,000,000",0.388,"257,000,000",1.054,"237,000,000",2.163,"231,000,000",4.621,"216,000,000",12.599,"198,000,000",27.667,"180,000,000",60.283,"165,000,000",164.265,"152,000,000",,,,
"Google Cloud Platform [n2d-standard-224]",0.169,"147,000,000",0.298,"167,000,000",0.574,"174,000,000",1.204,"207,000,000",1.865,"268,000,000",3.261,"306,000,000",7.739,"323,000,000",16.001,"312,000,000",32.790,"304,000,000",91.115,"274,000,000",191.891,"260,000,000",476.465,"209,000,000"
