,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"2^(⅐) [Native]",,0.082,"304,000,000",0.133,"375,000,000",0.232,"431,000,000",0.559,"447,000,000",1.059,"472,000,000",2.080,"480,000,000",5.404,"462,000,000",11.155,"448,000,000",23.934,"417,000,000",65.686,"380,000,000"
"2^(⅕) [Native]",,0.083,"301,000,000",0.136,"367,000,000",0.238,"420,000,000",0.560,"446,000,000",1.074,"465,000,000",2.094,"477,000,000",5.418,"461,000,000",11.219,"445,000,000",24.185,"413,000,000",66.060,"378,000,000"
"ArcCosh(e) [Log-Formula]",,3.439,"7,260,000",6.550,"7,630,000",12.455,"8,020,000",31.621,"7,900,000",62.969,"7,940,000",128.411,"7,780,000",349.610,"7,150,000",,,,,,
"ArcCoth(GoldenRatio) [Log-Formula]",,3.550,"7,040,000",6.455,"7,740,000",12.526,"7,980,000",31.324,"7,980,000",62.249,"8,030,000",126.604,"7,890,000",344.534,"7,250,000",,,,,,
"ArcSinh(e) [Log-Formula]",,3.440,"7,260,000",6.300,"7,930,000",12.413,"8,050,000",31.509,"7,930,000",62.950,"7,940,000",127.971,"7,810,000",348.996,"7,160,000",,,,,,
"ArcTanh(Pi^-1) [Log-Formula]",,3.486,"7,170,000",6.343,"7,880,000",12.151,"8,220,000",30.775,"8,120,000",61.444,"8,130,000",125.343,"7,970,000",340.649,"7,330,000",,,,,,
"ArcTanh(e^-1) [Log-Formula]",,3.578,"6,980,000",6.455,"7,740,000",12.483,"8,010,000",31.456,"7,940,000",62.721,"7,970,000",127.592,"7,830,000",345.938,"7,220,000",,,,,,
"BesselI(0,1) [Series]",,0.096,"260,000,000",0.179,"279,000,000",0.330,"303,000,000",0.814,"307,000,000",1.632,"306,000,000",3.392,"294,000,000",8.946,"279,000,000",19.197,"260,000,000",41.076,"243,000,000",112.837,"221,000,000"
"BesselJ(0,1) [Series]",,0.099,"252,000,000",0.180,"277,000,000",0.334,"299,000,000",0.817,"305,000,000",1.636,"305,000,000",3.392,"294,000,000",8.900,"280,000,000",19.256,"259,000,000",40.645,"246,000,000",113.440,"220,000,000"
"Bronze Ratio [Invsqrt]",,0.046,"543,000,000",0.077,"649,000,000",0.134,"746,000,000",0.324,"771,000,000",0.624,"801,000,000",1.244,"803,000,000",3.260,"766,000,000",6.998,"714,000,000",14.663,"681,000,000",40.202,"621,000,000"
