,,25m,,50m,,100m,,250m,,500m,
"2^(⅐) [Native]",,0.352,"71,000,000",0.734,"68,100,000",1.587,"63,000,000",4.530,"55,100,000",9.893,"50,500,000"
"2^(⅕) [Native]",,0.358,"69,800,000",0.748,"66,800,000",1.604,"62,300,000",4.545,"55,000,000",9.941,"50,200,000"
"ArcCosh(e) [Log-Formula]",,18.102,"1,380,000",39.578,"1,260,000",88.080,"1,130,000",261.228,"957,000",576.669,"867,000"
"ArcCoth(GoldenRatio) [Log-Formula]",,17.527,"1,420,000",38.413,"1,300,000",85.527,"1,160,000",253.739,"985,000",561.770,"890,000"
"ArcSinh(e) [Log-Formula]",,18.060,"1,380,000",39.575,"1,260,000",87.911,"1,130,000",260.934,"958,000",576.831,"866,000"
"ArcTanh(Pi^-1) [Log-Formula]",,17.507,"1,420,000",38.265,"1,300,000",85.290,"1,170,000",252.724,"989,000",559.475,"893,000"
"ArcTanh(e^-1) [Log-Formula]",,17.964,"1,390,000",39.254,"1,270,000",87.591,"1,140,000",259.450,"963,000",573.779,"871,000"
"BesselI(0,1) [Series]",,0.640,"39,000,000",1.366,"36,600,000",2.968,"33,600,000",8.225,"30,300,000",17.740,"28,100,000"
"BesselJ(0,1) [Series]",,0.642,"38,900,000",1.366,"36,600,000",2.946,"33,900,000",8.245,"30,300,000",17.769,"28,100,000"
"Bronze Ratio [Invsqrt]",,0.207,"120,000,000",0.433,"115,000,000",0.923,"108,000,000",2.615,"95,600,000",5.666,"88,200,000"
"Catalan's Constant [pilehrood-short]",8,9.559,"2,610,000",22.088,"2,260,000",50.221,"1,990,000",148.133,"1,680,000",333.674,"1,490,000"
"Cbrt(2) [Native]",,0.297,"84,100,000",0.622,"80,300,000",1.332,"75,000,000",3.803,"65,700,000",8.280,"60,300,000"
"Cbrt(2) [Native2]",,0.297,"84,100,000",0.621,"80,500,000",1.327,"75,300,000",3.759,"66,500,000",8.252,"60,500,000"
"Cbrt(3) [Native]",,0.297,"84,100,000",0.622,"80,300,000",1.330,"75,100,000",3.763,"66,400,000",8.269,"60,400,000"
"Cbrt(3) [Native2]",,0.303,"82,500,000",0.633,"78,900,000",1.351,"74,000,000",3.826,"65,300,000",8.364,"59,700,000"
"Cos(1) [Half Angle Formula]",,0.670,"37,300,000",1.419,"35,200,000",3.115,"32,100,000",8.622,"28,900,000",18.687,"26,700,000"
"Cos(1) [Series]",,0.646,"38,600,000",1.374,"36,300,000",2.989,"33,400,000",8.722,"28,600,000",18.859,"26,500,000"
"Erf(1) [Series]",,3.470,"7,200,000",7.702,"6,490,000",16.861,"5,930,000",48.204,"5,180,000",105.894,"4,720,000"
"Erf(1) [Series-e]",,4.097,"6,100,000",9.027,"5,530,000",20.048,"4,980,000",58.405,"4,280,000",129.394,"3,860,000"
"Euler-Mascheroni Constant [brent-original]",3,57.823,"432,000",131.907,"379,000",298.081,"335,000",1154.687,"216,000",,
"Euler-Mascheroni Constant [brent-refined]",3,42.532,"587,000",96.776,"516,000",219.438,"455,000",771.615,"323,000",,
"Gamma(¾) [AGM-Pi]",,7.664,"3,260,000",16.697,"2,990,000",37.040,"2,690,000",110.360,"2,260,000",242.839,"2,050,000"
"Gamma(¾) [Series-Pi (Brown)]",,17.247,"1,440,000",38.688,"1,290,000",86.526,"1,150,000",251.613,"993,000",563.462,"887,000"
"Gamma(⅔) [AGM-Pi]",,9.127,"2,730,000",19.809,"2,520,000",43.948,"2,270,000",130.810,"1,910,000",288.553,"1,730,000"
"Gamma(⅔) [Series-Pi (Brown)]",,6.969,"3,580,000",15.678,"3,180,000",35.291,"2,830,000",102.916,"2,420,000",230.693,"2,160,000"
"Gamma(⅙) [AGM-Pi]",,8.775,"2,840,000",19.081,"2,620,000",42.502,"2,350,000",126.345,"1,970,000",279.003,"1,790,000"
"Gamma(⅙) [Series-Pi (Brown)]",,6.952,"3,590,000",15.670,"3,190,000",35.165,"2,840,000",102.812,"2,430,000",230.362,"2,170,000"
"Gamma(⅚) [AGM-Pi]",,8.807,"2,830,000",19.118,"2,610,000",42.572,"2,340,000",126.155,"1,980,000",279.468,"1,780,000"
"Gamma(⅚) [Series-Pi (Brown)]",,6.887,"3,630,000",15.515,"3,220,000",34.843,"2,870,000",101.656,"2,450,000",227.823,"2,190,000"
"Gauss [AGM]",,5.761,"4,330,000",12.338,"4,050,000",27.420,"3,640,000",82.482,"3,030,000",180.752,"2,760,000"
"Gauss [Series]",,12.942,"1,930,000",29.467,"1,690,000",66.685,"1,490,000",194.186,"1,280,000",437.084,"1,140,000"
"Golden Ratio [newton]",5,0.206,"121,000,000",0.432,"115,000,000",0.919,"108,000,000",2.591,"96,400,000",5.634,"88,700,000"
"Khinchin-Levy [Definition]",,6.489,"3,850,000",14.774,"3,380,000",33.153,"3,010,000",96.382,"2,590,000",215.578,"2,310,000"
"Log(10) [machin-primary]",12,5.472,"4,560,000",12.522,"3,990,000",28.116,"3,550,000",81.665,"3,060,000",183.199,"2,720,000"
