,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Catalan's Constant [guillera2019]",8,2.004,"12,400,000",4.800,"10,400,000",11.193,"8,930,000",,,,,,,,,,,,,,,,,,
"Catalan's Constant [pilehrood-short]",8,1.522,"16,400,000",3.561,"14,000,000",8.161,"12,200,000",,,,,,,,,,,,,,,,,,
"Euler-Mascheroni Constant [brent-original]",3,10.566,"2,360,000",23.400,"2,130,000",49.213,"2,030,000",,,,,,,,,,,,,,,,,,
"Euler-Mascheroni Constant [brent-refined]",3,7.769,"3,210,000",17.382,"2,870,000",37.010,"2,700,000",,,,,,,,,,,,,,,,,,
"Gamma(¼) [AGM-Pi]",10,2.433,"10,200,000",4.480,"11,100,000",8.989,"11,100,000",,,,,,,,,,,,,,,,,,
"Gamma(¼) [Series-Pi (Brown)]",10,2.499,"10,000,000",5.825,"8,580,000",13.228,"7,550,000",,,,,,,,,,,,,,,,,,
"Gamma(⅓) [AGM-Pi]",11,2.660,"9,390,000",5.211,"9,590,000",10.463,"9,550,000",,,,,,,,,,,,,,,,,,
"Gamma(⅓) [Series-Pi (Brown)]",11,1.273,"19,600,000",2.803,"17,800,000",5.945,"16,800,000",,,,,,,,,,,,,,,,,,
"Golden Ratio [newton]",5,0.063,"396,000,000",0.107,"467,000,000",0.194,"515,000,000",,,,,,,,,,,,,,,,,,
"Lemniscate [Series-Pi]",9,2.416,"10,300,000",5.706,"8,760,000",12.920,"7,730,000",,,,,,,,,,,,,,,,,,
"Lemniscate Constant [agm-pi]",9,2.395,"10,400,000",4.580,"10,900,000",8.014,"12,400,000",,,,,,,,,,,,,,,,,,
"Log(10) [machin-primary]",12,1.124,"22,200,000",2.211,"22,600,000",4.813,"20,700,000",,,,,,,,,,,,,,,,,,
"Log(10) [machin-secondary]",12,1.185,"21,000,000",2.343,"21,300,000",5.105,"19,500,000",,,,,,,,,,,,,,,,,,
"Log(2) [machin-primary]",6,0.912,"27,400,000",1.899,"26,300,000",4.194,"23,800,000",,,,,,,,,,,,,,,,,,
"Log(2) [machin-secondary]",6,1.176,"21,200,000",2.224,"22,400,000",4.846,"20,600,000",,,,,,,,,,,,,,,,,,
"Pi [chudnovsky]",1,0.382,"65,400,000",0.745,"67,100,000",1.583,"63,100,000",3.994,"62,500,000",7.502,"66,600,000",13.929,"71,700,000",33.712,"74,100,000",68.931,"72,500,000",145.424,"68,700,000",404.037,"61,800,000",973.619,"51,300,000",1814.473,"55,100,000"
"Sqrt(125) [newton]",5,0.062,"403,000,000",0.107,"467,000,000",0.192,"520,000,000",,,,,,,,,,,,,,,,,,
"Sqrt(2) [newton]",4,0.062,"403,000,000",0.107,"467,000,000",0.192,"520,000,000",,,,,,,,,,,,,,,,,,
"Sqrt(200) [newton]",4,0.079,"316,000,000",0.107,"467,000,000",0.192,"520,000,000",,,,,,,,,,,,,,,,,,
"Zeta(3) - Apery's Constant [az]",7,1.309,"19,000,000",3.106,"16,000,000",7.133,"14,000,000",,,,,,,,,,,,,,,,,,
"Zeta(3) - Apery's Constant [wedeniwski]",7,1.262,"19,800,000",2.948,"16,900,000",6.739,"14,800,000",,,,,,,,,,,,,,,,,,
"Zeta(5) [BBP-Kruse]",13,11.378,"2,190,000",27.175,"1,830,000",63.218,"1,580,000",,,,,,,,,,,,,,,,,,
"Zeta(5) [Broadhurst (optimized)]",13,23.793,"1,050,000",55.722,"897,000",127.019,"787,000",,,,,,,,,,,,,,,,,,
"e [exp(-1)]",2,0.132,"189,000,000",0.261,"191,000,000",0.475,"210,000,000",0.983,"254,000,000",1.705,"293,000,000",3.198,"312,000,000",8.361,"299,000,000",17.741,"281,000,000",38.205,"261,000,000",103.305,"242,000,000",,,,
"e [exp(1)]",2,0.128,"195,000,000",0.255,"196,000,000",0.478,"209,000,000",0.978,"255,000,000",1.688,"296,000,000",3.148,"317,000,000",8.316,"300,000,000",17.964,"278,000,000",39.067,"255,000,000",105.043,"237,000,000",223.529,"223,000,000",541.171,"184,000,000"
