,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"2^(⅐) [Native]",,0.065,"384,000,000",0.107,"467,000,000",0.182,"549,000,000",0.435,"574,000,000",0.778,"642,000,000",1.461,"684,000,000",3.825,"653,000,000",,,,,,,,,,
"2^(⅕) [Native]",,0.064,"390,000,000",0.112,"446,000,000",0.190,"526,000,000",0.439,"569,000,000",0.789,"633,000,000",1.474,"678,000,000",3.770,"663,000,000",,,,,,,,,,
"ArcCosh(e) [Log-Formula]",,3.336,"7,490,000",5.320,"9,390,000",9.713,"10,200,000",23.739,"10,500,000",47.129,"10,600,000",92.369,"10,800,000",257.729,"9,700,000",,,,,,,,,,
"ArcCoth(GoldenRatio) [Log-Formula]",,3.385,"7,380,000",5.514,"9,060,000",9.919,"10,000,000",24.323,"10,200,000",46.223,"10,800,000",91.431,"10,900,000",253.031,"9,880,000",,,,,,,,,,
"ArcSinh(e) [Log-Formula]",,3.151,"7,930,000",5.292,"9,440,000",9.535,"10,400,000",24.468,"10,200,000",46.869,"10,600,000",92.553,"10,800,000",258.231,"9,680,000",,,,,,,,,,
"ArcTanh(Pi^-1) [Log-Formula]",,3.268,"7,640,000",5.187,"9,630,000",9.296,"10,700,000",23.613,"10,500,000",45.497,"10,900,000",90.268,"11,000,000",250.713,"9,970,000",,,,,,,,,,
"ArcTanh(e^-1) [Log-Formula]",,3.292,"7,590,000",5.138,"9,730,000",9.644,"10,300,000",24.104,"10,300,000",46.692,"10,700,000",91.875,"10,800,000",256.345,"9,750,000",,,,,,,,,,
"BesselI(0,1) [Series]",,0.072,"347,000,000",0.135,"370,000,000",0.259,"386,000,000",0.621,"402,000,000",1.202,"415,000,000",2.401,"416,000,000",6.473,"386,000,000",,,,,,,,,,
"BesselJ(0,1) [Series]",,0.072,"347,000,000",0.134,"373,000,000",0.260,"384,000,000",0.614,"407,000,000",1.198,"417,000,000",2.413,"414,000,000",6.474,"386,000,000",,,,,,,,,,
"Bronze Ratio [Invsqrt]",,0.035,"714,000,000",0.062,"806,000,000",0.108,"925,000,000",0.262,"954,000,000",0.471,"1,060,000,000",0.900,"1,110,000,000",2.278,"1,090,000,000",4.952,"1,000,000,000",10.571,"945,000,000",30.361,"823,000,000",64.975,"769,000,000",136.616,"731,000,000"
"Catalan's Constant [guillera2019]",8,2.036,"12,200,000",3.234,"15,400,000",6.651,"15,000,000",17.090,"14,600,000",34.854,"14,300,000",73.120,"13,600,000",201.976,"12,300,000",,,,,,,,,,
"Catalan's Constant [pilehrood-short]",8,1.537,"16,200,000",2.417,"20,600,000",4.947,"20,200,000",12.630,"19,700,000",25.873,"19,300,000",54.103,"18,400,000",149.798,"16,600,000",,,,,,,,,,
"Cbrt(2) [Native]",,0.047,"531,000,000",0.091,"549,000,000",0.154,"649,000,000",0.365,"684,000,000",0.651,"768,000,000",1.222,"818,000,000",3.184,"785,000,000",6.758,"739,000,000",14.480,"690,000,000",39.192,"637,000,000",82.671,"604,000,000",175.375,"570,000,000"
"Cbrt(2) [Native2]",,0.055,"454,000,000",0.092,"543,000,000",0.154,"649,000,000",0.364,"686,000,000",0.652,"766,000,000",1.218,"821,000,000",3.146,"794,000,000",,,,,,,,,,
"Cbrt(3) [Native]",,0.055,"454,000,000",0.091,"549,000,000",0.153,"653,000,000",0.365,"684,000,000",0.651,"768,000,000",1.224,"816,000,000",3.163,"790,000,000",,,,,,,,,,
"Cbrt(3) [Native2]",,0.050,"500,000,000",0.094,"531,000,000",0.157,"636,000,000",0.368,"679,000,000",0.659,"758,000,000",1.234,"810,000,000",3.199,"781,000,000",,,,,,,,,,
"Cos(1) [Half Angle Formula]",,0.078,"320,000,000",0.140,"357,000,000",0.274,"364,000,000",0.663,"377,000,000",1.271,"393,000,000",2.535,"394,000,000",6.886,"363,000,000",,,,,,,,,,
"Cos(1) [Series]",,0.073,"342,000,000",0.137,"364,000,000",0.265,"377,000,000",0.652,"383,000,000",1.282,"390,000,000",2.596,"385,000,000",6.871,"363,000,000",,,,,,,,,,
"Erf(1) [Series]",,0.570,"43,800,000",0.916,"54,500,000",1.741,"57,400,000",4.265,"58,600,000",8.392,"59,500,000",16.608,"60,200,000",44.288,"56,400,000",,,,,,,,,,
"Erf(1) [Series-e]",,0.652,"38,300,000",1.073,"46,500,000",2.034,"49,100,000",5.085,"49,100,000",9.958,"50,200,000",20.324,"49,200,000",54.785,"45,600,000",,,,,,,,,,
"Euler-Mascheroni Constant [brent-original]",3,9.506,"2,620,000",14.599,"3,420,000",28.747,"3,470,000",95.573,"2,610,000",194.530,"2,570,000",406.643,"2,450,000",970.619,"2,570,000",,,,,,,,,,
"Euler-Mascheroni Constant [brent-refined]",3,7.271,"3,430,000",11.308,"4,420,000",21.638,"4,620,000",64.894,"3,850,000",131.204,"3,810,000",273.798,"3,650,000",677.893,"3,680,000",,,,,,,,,,
"Gamma(¼) [AGM-Pi]",10,1.348,"18,500,000",2.487,"20,100,000",4.409,"22,600,000",10.740,"23,200,000",20.309,"24,600,000",39.411,"25,300,000",107.800,"23,100,000",,,,,,,,,,
"Gamma(¼) [Series-Pi (Brown)]",10,2.461,"10,100,000",3.874,"12,900,000",7.831,"12,700,000",19.872,"12,500,000",40.421,"12,300,000",84.115,"11,800,000",228.676,"10,900,000",,,,,,,,,,
"Gamma(¾) [AGM-Pi]",,1.542,"16,200,000",2.462,"20,300,000",4.427,"22,500,000",10.634,"23,500,000",20.362,"24,500,000",39.360,"25,400,000",108.260,"23,000,000",,,,,,,,,,
"Gamma(¾) [Series-Pi (Brown)]",,2.619,"9,540,000",4.163,"12,000,000",8.329,"12,000,000",21.162,"11,800,000",42.747,"11,600,000",88.855,"11,200,000",242.395,"10,300,000",,,,,,,,,,
"Gamma(⅓) [AGM-Pi]",11,1.809,"13,800,000",2.897,"17,200,000",5.198,"19,200,000",12.784,"19,500,000",24.109,"20,700,000",46.848,"21,300,000",128.121,"19,500,000",,,,,,,,,,
"Gamma(⅓) [Series-Pi (Brown)]",11,1.132,"22,000,000",1.785,"28,000,000",3.610,"27,700,000",9.043,"27,600,000",18.149,"27,500,000",37.205,"26,800,000",100.953,"24,700,000",,,,,,,,,,
"Gamma(⅔) [AGM-Pi]",,1.788,"13,900,000",2.902,"17,200,000",5.113,"19,500,000",12.711,"19,600,000",24.090,"20,700,000",46.860,"21,300,000",127.698,"19,500,000",,,,,,,,,,
"Gamma(⅔) [Series-Pi (Brown)]",,1.129,"22,100,000",1.776,"28,100,000",3.571,"28,000,000",8.983,"27,800,000",18.024,"27,700,000",37.035,"27,000,000",100.610,"24,800,000",,,,,,,,,,
"Gamma(⅙) [AGM-Pi]",,1.567,"15,900,000",2.522,"19,800,000",4.752,"21,000,000",11.848,"21,100,000",22.674,"22,000,000",44.793,"22,300,000",123.390,"20,200,000",,,,,,,,,,
"Gamma(⅙) [Series-Pi (Brown)]",,1.138,"21,900,000",1.766,"28,300,000",3.569,"28,000,000",8.934,"27,900,000",18.052,"27,600,000",36.959,"27,000,000",100.632,"24,800,000",,,,,,,,,,
"Gamma(⅚) [AGM-Pi]",,1.664,"15,000,000",2.769,"18,000,000",4.992,"20,000,000",12.101,"20,600,000",23.240,"21,500,000",45.166,"22,100,000",124.122,"20,100,000",,,,,,,,,,
"Gamma(⅚) [Series-Pi (Brown)]",,1.102,"22,600,000",1.750,"28,500,000",3.536,"28,200,000",8.893,"28,100,000",17.873,"27,900,000",36.673,"27,200,000",99.381,"25,100,000",,,,,,,,,,
"Gauss [AGM]",,1.177,"21,200,000",1.944,"25,700,000",3.404,"29,300,000",8.208,"30,400,000",15.271,"32,700,000",29.256,"34,100,000",80.842,"30,900,000",,,,,,,,,,
"Gauss [Series]",,1.969,"12,600,000",3.128,"15,900,000",6.340,"15,700,000",16.221,"15,400,000",33.159,"15,000,000",69.148,"14,400,000",189.368,"13,200,000",,,,,,,,,,
"Golden Ratio [newton]",5,0.033,"757,000,000",0.062,"806,000,000",0.107,"934,000,000",0.260,"961,000,000",0.465,"1,070,000,000",0.886,"1,120,000,000",2.251,"1,110,000,000",4.914,"1,010,000,000",10.448,"957,000,000",29.978,"833,000,000",64.201,"778,000,000",135.708,"736,000,000"
"Khinchin-Levy [Definition]",,1.127,"22,100,000",1.775,"28,100,000",3.451,"28,900,000",8.717,"28,600,000",17.318,"28,800,000",35.509,"28,100,000",95.498,"26,100,000",,,,,,,,,,
"Lemniscate [Series-Pi]",9,2.407,"10,300,000",3.792,"13,100,000",7.674,"13,000,000",19.571,"12,700,000",39.948,"12,500,000",83.041,"12,000,000",226.994,"11,000,000",,,,,,,,,,
"Lemniscate Constant [agm-pi]",9,1.309,"19,000,000",2.261,"22,100,000",4.084,"24,400,000",10.220,"24,400,000",19.372,"25,800,000",37.786,"26,400,000",104.803,"23,800,000",,,,,,,,,,
"Log(10) [machin-primary]",12,0.936,"26,700,000",1.505,"33,200,000",2.901,"34,400,000",7.292,"34,200,000",14.457,"34,500,000",29.451,"33,900,000",79.345,"31,500,000",,,,,,,,,,
"Log(10) [machin-secondary]",12,0.985,"25,300,000",1.577,"31,700,000",3.062,"32,600,000",7.771,"32,100,000",15.361,"32,500,000",31.370,"31,800,000",84.514,"29,500,000",,,,,,,,,,
"Log(2) [machin-primary]",6,0.814,"30,700,000",1.303,"38,300,000",2.515,"39,700,000",6.349,"39,300,000",12.670,"39,400,000",26.036,"38,400,000",70.010,"35,700,000",,,,,,,,,,
"Log(2) [machin-secondary]",6,0.926,"26,900,000",1.489,"33,500,000",2.877,"34,700,000",7.333,"34,000,000",14.451,"34,500,000",29.424,"33,900,000",79.284,"31,500,000",,,,,,,,,,
"Log(3) [machin-primary]",,0.931,"26,800,000",1.502,"33,200,000",2.880,"34,700,000",7.317,"34,100,000",14.470,"34,500,000",29.495,"33,900,000",79.254,"31,500,000",,,,,,,,,,
"Log(3) [machin-secondary]",,0.984,"25,400,000",1.566,"31,900,000",3.017,"33,100,000",7.642,"32,700,000",15.030,"33,200,000",30.847,"32,400,000",82.630,"30,200,000",,,,,,,,,,
"Log(5) [machin-primary]",,0.949,"26,300,000",1.507,"33,100,000",2.893,"34,500,000",7.325,"34,100,000",14.477,"34,500,000",29.465,"33,900,000",79.349,"31,500,000",,,,,,,,,,
"Log(5) [machin-secondary]",,0.996,"25,100,000",1.546,"32,300,000",3.005,"33,200,000",7.621,"32,800,000",15.061,"33,100,000",30.876,"32,300,000",82.564,"30,200,000",,,,,,,,,,
"Log(7) [machin-primary]",,0.937,"26,600,000",1.506,"33,200,000",2.888,"34,600,000",7.319,"34,100,000",14.449,"34,600,000",29.444,"33,900,000",79.181,"31,500,000",,,,,,,,,,
"Log(7) [machin-secondary]",,0.983,"25,400,000",1.560,"32,000,000",3.025,"33,000,000",7.630,"32,700,000",15.035,"33,200,000",30.826,"32,400,000",82.525,"30,200,000",,,,,,,,,,
