,,25m,,50m,,100m,,250m,,500m,,1b,
"2^(⅐) [Native]",,0.344,"72,600,000",0.724,"69,000,000",1.554,"64,300,000",4.518,"55,300,000",9.804,"50,900,000",21.005,"47,600,000"
"2^(⅕) [Native]",,0.355,"70,400,000",0.743,"67,200,000",1.594,"62,700,000",4.510,"55,400,000",9.800,"51,000,000",21.077,"47,400,000"
"ArcCosh(e) [Log-Formula]",,17.904,"1,390,000",39.420,"1,260,000",86.317,"1,150,000",259.088,"964,000",569.974,"877,000",1253.309,"797,000"
"ArcCoth(GoldenRatio) [Log-Formula]",,17.414,"1,430,000",38.248,"1,300,000",84.317,"1,180,000",251.599,"993,000",554.800,"901,000",1221.457,"818,000"
"ArcSinh(e) [Log-Formula]",,17.901,"1,390,000",39.341,"1,270,000",86.456,"1,150,000",259.115,"964,000",570.104,"877,000",1252.816,"798,000"
"ArcTanh(Pi^-1) [Log-Formula]",,17.340,"1,440,000",38.159,"1,310,000",83.953,"1,190,000",250.225,"999,000",553.064,"904,000",1217.077,"821,000"
"ArcTanh(e^-1) [Log-Formula]",,17.801,"1,400,000",39.148,"1,270,000",85.840,"1,160,000",257.495,"970,000",567.612,"880,000",1248.770,"800,000"
"BesselI(0,1) [Series]",,0.611,"40,900,000",1.338,"37,300,000",2.876,"34,700,000",8.219,"30,400,000",17.816,"28,000,000",38.390,"26,000,000"
"BesselJ(0,1) [Series]",,0.614,"40,700,000",1.342,"37,200,000",2.879,"34,700,000",8.262,"30,200,000",17.854,"28,000,000",38.470,"25,900,000"
"Bronze Ratio [Invsqrt]",,0.199,"125,000,000",0.424,"117,000,000",0.909,"110,000,000",2.595,"96,300,000",5.684,"87,900,000",12.411,"80,500,000"
"Catalan's Constant [guillera2019]",8,12.682,"1,970,000",29.394,"1,700,000",67.098,"1,490,000",197.958,"1,260,000",445.951,"1,120,000",1009.594,"990,000"
"Catalan's Constant [pilehrood-short]",8,9.453,"2,640,000",22.093,"2,260,000",50.199,"1,990,000",147.255,"1,690,000",330.923,"1,510,000",744.069,"1,340,000"
"Cbrt(2) [Native]",,0.293,"85,300,000",0.618,"80,900,000",1.313,"76,100,000",3.819,"65,400,000",8.247,"60,600,000",17.676,"56,500,000"
"Cbrt(2) [Native2]",,0.291,"85,900,000",0.614,"81,400,000",1.307,"76,500,000",3.759,"66,500,000",8.234,"60,700,000",17.675,"56,500,000"
"Cbrt(3) [Native]",,0.292,"85,600,000",0.615,"81,300,000",1.308,"76,400,000",3.792,"65,900,000",8.226,"60,700,000",17.648,"56,600,000"
"Cbrt(3) [Native2]",,0.298,"83,800,000",0.627,"79,700,000",1.331,"75,100,000",3.797,"65,800,000",8.315,"60,100,000",17.895,"55,800,000"
"Cos(1) [Half Angle Formula]",,0.640,"39,000,000",1.397,"35,700,000",3.007,"33,200,000",8.673,"28,800,000",18.731,"26,600,000",40.319,"24,800,000"
"Cos(1) [Series]",,0.617,"40,500,000",1.367,"36,500,000",2.901,"34,400,000",8.719,"28,600,000",18.953,"26,300,000",40.885,"24,400,000"
"Erf(1) [Series]",,3.468,"7,200,000",7.661,"6,520,000",16.734,"5,970,000",47.867,"5,220,000",104.544,"4,780,000",231.214,"4,320,000"
"Erf(1) [Series-e]",,3.985,"6,270,000",8.872,"5,630,000",19.719,"5,070,000",58.220,"4,290,000",128.717,"3,880,000",283.395,"3,520,000"
"Euler-Mascheroni Constant [brent-original]",3,57.571,"434,000",131.486,"380,000",297.103,"336,000",1148.613,"217,000",2568.464,"194,000",5749.206,"173,000"
"Euler-Mascheroni Constant [brent-refined]",3,42.321,"590,000",96.446,"518,000",218.220,"458,000",766.541,"326,000",1717.210,"291,000",3853.041,"259,000"
"Gamma(¼) [AGM-Pi]",10,7.565,"3,300,000",16.593,"3,010,000",36.071,"2,770,000",108.795,"2,290,000",238.846,"2,090,000",522.139,"1,910,000"
"Gamma(¼) [Series-Pi (Brown)]",10,15.446,"1,610,000",35.209,"1,420,000",79.787,"1,250,000",231.531,"1,070,000",521.150,"959,000",1174.378,"851,000"
"Gamma(¾) [AGM-Pi]",,7.592,"3,290,000",16.626,"3,000,000",36.250,"2,750,000",109.279,"2,280,000",239.772,"2,080,000",523.470,"1,910,000"
"Gamma(¾) [Series-Pi (Brown)]",,16.954,"1,470,000",38.275,"1,300,000",85.815,"1,160,000",248.250,"1,000,000",556.616,"898,000",1241.531,"805,000"
"Gamma(⅓) [AGM-Pi]",11,9.061,"2,750,000",19.744,"2,530,000",43.277,"2,310,000",129.668,"1,920,000",285.871,"1,740,000",623.361,"1,600,000"
"Gamma(⅔) [AGM-Pi]",,9.037,"2,760,000",19.693,"2,530,000",43.194,"2,310,000",129.534,"1,920,000",284.998,"1,750,000",621.087,"1,610,000"
"Gamma(⅔) [Series-Pi (Brown)]",,6.862,"3,640,000",15.577,"3,200,000",34.956,"2,860,000",101.577,"2,460,000",227.143,"2,200,000",504.147,"1,980,000"
"Gamma(⅙) [AGM-Pi]",,8.684,"2,870,000",18.993,"2,630,000",41.700,"2,390,000",125.105,"1,990,000",275.958,"1,810,000",600.844,"1,660,000"
"Gamma(⅙) [Series-Pi (Brown)]",,6.852,"3,640,000",15.568,"3,210,000",34.800,"2,870,000",101.586,"2,460,000",227.172,"2,200,000",503.727,"1,980,000"
"Gamma(⅚) [AGM-Pi]",,8.712,"2,860,000",19.015,"2,620,000",41.775,"2,390,000",125.238,"1,990,000",276.448,"1,800,000",602.780,"1,650,000"
"Gamma(⅚) [Series-Pi (Brown)]",,6.767,"3,690,000",15.309,"3,260,000",34.455,"2,900,000",100.416,"2,480,000",224.411,"2,220,000",498.740,"2,000,000"
"Gauss [AGM]",,5.682,"4,390,000",12.291,"4,060,000",26.783,"3,730,000",81.611,"3,060,000",178.364,"2,800,000",385.204,"2,590,000"
"Gauss [Series]",,12.773,"1,950,000",29.213,"1,710,000",65.985,"1,510,000",191.687,"1,300,000",431.448,"1,150,000",973.493,"1,020,000"
"Golden Ratio [newton]",5,0.198,"126,000,000",0.422,"118,000,000",0.903,"110,000,000",2.581,"96,800,000",5.658,"88,300,000",12.380,"80,700,000"
"Khinchin-Levy [Definition]",,6.425,"3,890,000",14.718,"3,390,000",32.986,"3,030,000",95.783,"2,610,000",213.782,"2,330,000",481.780,"2,070,000"
"Lemniscate [Series-Pi]",9,15.218,"1,640,000",34.836,"1,430,000",78.692,"1,270,000",229.085,"1,090,000",515.571,"969,000",1160.747,"861,000"
"Lemniscate Constant [agm-pi]",9,7.320,"3,410,000",16.008,"3,120,000",34.902,"2,860,000",105.276,"2,370,000",231.346,"2,160,000",506.026,"1,970,000"
"Log(10) [machin-primary]",12,5.470,"4,570,000",12.489,"4,000,000",27.877,"3,580,000",81.255,"3,070,000",181.577,"2,750,000",406.480,"2,460,000"
"Log(10) [machin-secondary]",12,5.730,"4,360,000",13.072,"3,820,000",29.281,"3,410,000",86.205,"2,900,000",192.726,"2,590,000",431.796,"2,310,000"
"Log(2) [machin-primary]",6,4.740,"5,270,000",10.808,"4,620,000",24.423,"4,090,000",70.398,"3,550,000",157.670,"3,170,000",355.292,"2,810,000"
"Log(2) [machin-secondary]",6,5.454,"4,580,000",12.477,"4,000,000",27.911,"3,580,000",81.286,"3,070,000",181.718,"2,750,000",406.593,"2,450,000"
"Log(3) [machin-primary]",,5.424,"4,600,000",12.485,"4,000,000",27.913,"3,580,000",81.262,"3,070,000",181.552,"2,750,000",406.627,"2,450,000"
"Log(3) [machin-secondary]",,5.648,"4,420,000",12.932,"3,860,000",28.926,"3,450,000",85.174,"2,930,000",191.015,"2,610,000",425.235,"2,350,000"
"Log(5) [machin-primary]",,5.452,"4,580,000",12.464,"4,010,000",27.881,"3,580,000",81.442,"3,060,000",181.705,"2,750,000",406.556,"2,450,000"
"Log(5) [machin-secondary]",,5.622,"4,440,000",12.916,"3,870,000",28.991,"3,440,000",85.317,"2,930,000",190.997,"2,610,000",425.316,"2,350,000"
"Log(7) [machin-primary]",,5.452,"4,580,000",12.492,"4,000,000",27.877,"3,580,000",81.248,"3,070,000",181.713,"2,750,000",406.681,"2,450,000"
"Log(7) [machin-secondary]",,5.621,"4,440,000",12.929,"3,860,000",28.922,"3,450,000",85.222,"2,930,000",190.876,"2,610,000",425.159,"2,350,000"
"Log(Pi) [Definition]",,17.224,"1,450,000",37.977,"1,310,000",83.470,"1,190,000",249.069,"1,000,000",549.877,"909,000",1211.145,"825,000"
"Log10(2) [Machin (4 terms)]",,5.564,"4,490,000",12.683,"3,940,000",28.356,"3,520,000",82.476,"3,030,000",184.440,"2,710,000",412.177,"2,420,000"
"Pi [chudnovsky]",1,1.666,"15,000,000",3.890,"12,800,000",8.712,"11,400,000",25.631,"9,750,000",56.705,"8,810,000",128.422,"7,780,000"
"Pi^-1 [Native]",,1.668,"14,900,000",3.935,"12,700,000",8.733,"11,400,000",25.574,"9,770,000",56.641,"8,820,000",128.477,"7,780,000"
"Sin(1) [Series]",,0.615,"40,600,000",1.350,"37,000,000",2.878,"34,700,000",8.710,"28,700,000",18.897,"26,400,000",40.780,"24,500,000"
"Sin(1) [Triple Angle Formula]",,0.667,"37,400,000",1.456,"34,300,000",3.137,"31,800,000",9.519,"26,200,000",20.612,"24,200,000",44.258,"22,500,000"
"Sqrt(125) [newton]",5,0.198,"126,000,000",0.421,"118,000,000",0.902,"110,000,000",2.564,"97,500,000",5.647,"88,500,000",12.364,"80,800,000"
"Sqrt(2) [newton]",4,0.198,"126,000,000",0.421,"118,000,000",0.904,"110,000,000",2.598,"96,200,000",5.648,"88,500,000",12.359,"80,900,000"
"Sqrt(200) [newton]",4,0.198,"126,000,000",0.421,"118,000,000",0.903,"110,000,000",2.571,"97,200,000",5.663,"88,200,000",12.376,"80,800,000"
"Sqrt(325) [newton]",,0.198,"126,000,000",0.421,"118,000,000",0.903,"110,000,000",2.574,"97,100,000",5.649,"88,500,000",12.365,"80,800,000"
"Sqrt(Pi) [Simple]",,1.820,"13,700,000",4.202,"11,800,000",9.287,"10,700,000",27.235,"9,170,000",60.158,"8,310,000",135.953,"7,350,000"
"Universal Parabolic Constant [Definition]",,17.263,"1,440,000",38.101,"1,310,000",83.693,"1,190,000",250.529,"997,000",552.374,"905,000",1213.530,"824,000"
"Unnormalized Fresnel C(1) [Series]",,1.110,"22,500,000",2.449,"20,400,000",5.367,"18,600,000",15.475,"16,100,000",33.626,"14,800,000",72.408,"13,800,000"
"Unnormalized Fresnel S(1) [Series]",,1.107,"22,500,000",2.443,"20,400,000",5.364,"18,600,000",15.418,"16,200,000",33.533,"14,900,000",72.307,"13,800,000"
"Zeta(2) [Chudnovsky]",,1.723,"14,500,000",3.983,"12,500,000",8.840,"11,300,000",25.772,"9,700,000",56.885,"8,780,000",128.887,"7,750,000"
"Zeta(2) [Direct]",,2.518,"9,920,000",5.814,"8,590,000",13.305,"7,510,000",39.027,"6,400,000",87.736,"5,690,000",195.822,"5,100,000"
"Zeta(3) - Apery's Constant [az]",7,8.048,"3,100,000",18.789,"2,660,000",43.072,"2,320,000",126.759,"1,970,000",291.294,"1,710,000",654.350,"1,520,000"
"Zeta(3) - Apery's Constant [wedeniwski]",7,7.786,"3,210,000",18.144,"2,750,000",41.071,"2,430,000",122.107,"2,040,000",276.854,"1,800,000",624.272,"1,600,000"
"Zeta(4) [Chudnovsky]",,1.716,"14,500,000",4.044,"12,300,000",8.923,"11,200,000",26.148,"9,560,000",57.670,"8,670,000",130.176,"7,680,000"
"Zeta(4) [Direct]",,2.545,"9,820,000",5.872,"8,510,000",13.403,"7,460,000",39.457,"6,330,000",88.728,"5,630,000",197.295,"5,060,000"
"Zeta(5) [BBP-Kruse]",13,76.021,"328,000",173.628,"287,000",392.281,"254,000",1150.041,"217,000",2586.350,"193,000",5792.018,"172,000"
"Zeta(5) [Broadhurst (optimized)]",13,142.304,"175,000",324.875,"153,000",738.679,"135,000",2164.809,"115,000",4884.816,"102,000",10957.191,"91,200"
"e [exp(-1)]",2,0.563,"44,400,000",1.208,"41,300,000",2.677,"37,300,000",8.302,"30,100,000",18.088,"27,600,000",39.065,"25,500,000"
"e [exp(1)]",2,0.560,"44,600,000",1.204,"41,500,000",2.668,"37,400,000",8.284,"30,100,000",18.019,"27,700,000",38.974,"25,600,000"
