,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,
"2^(⅐) [Native]",,0.298,"83,800,000",0.623,"80,200,000",1.342,"74,500,000",3.878,"64,400,000",8.374,"59,700,000",17.924,"55,700,000",47.519,"52,600,000"
"2^(⅕) [Native]",,0.304,"82,200,000",0.638,"78,300,000",1.362,"73,400,000",3.872,"64,500,000",8.407,"59,400,000",18.059,"55,300,000",47.381,"52,700,000"
"ArcCosh(e) [Log-Formula]",,18.189,"1,370,000",39.771,"1,250,000",88.855,"1,120,000",264.052,"946,000",584.763,"855,000",1271.808,"786,000",3364.572,"743,000"
"ArcCoth(GoldenRatio) [Log-Formula]",,17.646,"1,410,000",38.629,"1,290,000",86.213,"1,150,000",256.502,"974,000",570.924,"875,000",1239.203,"806,000",3283.683,"761,000"
"ArcSinh(e) [Log-Formula]",,18.186,"1,370,000",39.680,"1,260,000",88.600,"1,120,000",263.652,"948,000",584.047,"856,000",1272.153,"786,000",3364.230,"743,000"
"ArcTanh(Pi^-1) [Log-Formula]",,17.591,"1,420,000",38.514,"1,290,000",85.887,"1,160,000",255.307,"979,000",565.752,"883,000",1233.397,"810,000",3268.264,"764,000"
"ArcTanh(e^-1) [Log-Formula]",,18.071,"1,380,000",39.480,"1,260,000",88.284,"1,130,000",262.331,"952,000",581.311,"860,000",1266.004,"789,000",3348.237,"746,000"
"BesselI(0,1) [Series]",,0.643,"38,800,000",1.392,"35,900,000",2.978,"33,500,000",8.228,"30,300,000",17.809,"28,000,000",38.386,"26,000,000",108.060,"23,100,000"
"BesselJ(0,1) [Series]",,0.646,"38,600,000",1.366,"36,600,000",2.996,"33,300,000",8.248,"30,300,000",17.893,"27,900,000",38.468,"25,900,000",108.249,"23,000,000"
"Bronze Ratio [Invsqrt]",,0.208,"120,000,000",0.436,"114,000,000",0.929,"107,000,000",2.604,"96,000,000",5.689,"87,800,000",12.441,"80,300,000",33.894,"73,700,000"
"Catalan's Constant [pilehrood-short]",8,9.584,"2,600,000",22.121,"2,260,000",50.402,"1,980,000",148.324,"1,680,000",335.222,"1,490,000",754.037,"1,320,000",2219.081,"1,120,000"
"Catalan's Constant [zuniga2023]",8,10.318,"2,420,000",24.145,"2,070,000",54.416,"1,830,000",162.489,"1,530,000",363.737,"1,370,000",821.688,"1,210,000",2385.379,"1,040,000"
"Cbrt(2) [Native]",,0.244,"102,000,000",0.511,"97,800,000",1.095,"91,300,000",3.117,"80,200,000",6.726,"74,300,000",14.544,"68,700,000",39.126,"63,800,000"
"Cbrt(2) [Native2]",,0.299,"83,600,000",0.625,"80,000,000",1.334,"74,900,000",3.768,"66,300,000",8.265,"60,400,000",17.783,"56,200,000",46.554,"53,700,000"
"Cbrt(3) [Native]",,0.243,"102,000,000",0.510,"98,000,000",1.096,"91,200,000",3.078,"81,200,000",6.775,"73,800,000",14.540,"68,700,000",39.145,"63,800,000"
"Cbrt(3) [Native2]",,0.305,"81,900,000",0.637,"78,400,000",1.360,"73,500,000",3.857,"64,800,000",8.434,"59,200,000",18.028,"55,400,000",47.093,"53,000,000"
"Cos(1) [Half Angle Formula]",,0.672,"37,200,000",1.425,"35,000,000",3.137,"31,800,000",8.692,"28,700,000",18.829,"26,500,000",40.350,"24,700,000",112.639,"22,100,000"
"Cos(1) [Series]",,0.650,"38,400,000",1.379,"36,200,000",3.014,"33,100,000",8.770,"28,500,000",18.992,"26,300,000",40.871,"24,400,000",109.541,"22,800,000"
"Dirichlet L(-3,2) [Guillera (2023)]",,9.192,"2,710,000",21.166,"2,360,000",48.008,"2,080,000",141.715,"1,760,000",318.882,"1,560,000",714.493,"1,390,000",2069.977,"1,200,000"
"Dirichlet L(-7,2) [Guillera (2017)]",,29.291,"853,000",66.853,"747,000",151.009,"662,000",441.978,"565,000",997.686,"501,000",2241.874,"446,000",6516.383,"383,000"
"Dirichlet L(-8,2) [Zuniga (2023)]",,29.414,"849,000",67.618,"739,000",153.915,"649,000",453.320,"551,000",1027.697,"486,000",2295.504,"435,000",6702.274,"373,000"
"Erf(1) [Series]",,3.493,"7,150,000",7.766,"6,430,000",16.946,"5,900,000",48.401,"5,160,000",106.908,"4,670,000",234.349,"4,260,000",652.906,"3,820,000"
"Erf(1) [Series-e]",,4.107,"6,080,000",9.092,"5,490,000",20.172,"4,950,000",58.784,"4,250,000",130.615,"3,820,000",287.474,"3,470,000",784.722,"3,180,000"
"Euler-Mascheroni Constant [brent-original]",3,58.198,"429,000",132.511,"377,000",299.833,"333,000",1163.556,"214,000",2603.453,"192,000",5819.892,"171,000",,
"Euler-Mascheroni Constant [brent-refined]",3,42.839,"583,000",97.341,"513,000",220.584,"453,000",776.896,"321,000",1740.671,"287,000",3899.044,"256,000",,
"Exp(Pi) [ArcSin(1d2)]",,42.111,"593,000",95.384,"524,000",214.819,"465,000",621.092,"402,000",1395.198,"358,000",3113.873,"321,000",,
"Exp(Pi) [Hyperbolic (2d3 Pi)]",,40.610,"615,000",92.102,"542,000",207.640,"481,000",602.522,"414,000",1347.960,"370,000",3006.567,"332,000",,
"Gamma(¼) [Lemniscate Zuniga (2023-ix)]",10,5.222,"4,780,000",11.919,"4,190,000",26.506,"3,770,000",78.016,"3,200,000",175.053,"2,850,000",390.190,"2,560,000",1101.215,"2,270,000"
