,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,
"2^(⅐) [Native]",,0.511,"48,900,000",1.090,"45,800,000",2.365,"42,200,000",6.847,"36,500,000",14.714,"33,900,000",32.152,"31,100,000",86.214,"28,900,000"
"2^(⅕) [Native]",,0.512,"48,800,000",1.095,"45,600,000",2.367,"42,200,000",6.736,"37,100,000",14.631,"34,100,000",31.834,"31,400,000",87.288,"28,600,000"
"ArcCosh(e) [Log-Formula]",,26.465,"944,000",58.829,"849,000",130.954,"763,000",392.959,"636,000",879.307,"568,000",1958.737,"510,000",5456.304,"458,000"
"ArcCoth(GoldenRatio) [Log-Formula]",,26.171,"955,000",58.108,"860,000",129.167,"774,000",383.073,"652,000",854.917,"584,000",1903.262,"525,000",5283.247,"473,000"
"ArcSinh(e) [Log-Formula]",,26.430,"945,000",58.838,"849,000",131.051,"763,000",392.956,"636,000",874.817,"571,000",1955.727,"511,000",5434.165,"460,000"
"ArcTanh(Pi^-1) [Log-Formula]",,25.465,"981,000",57.038,"876,000",127.063,"787,000",381.073,"656,000",849.205,"588,000",1898.440,"526,000",5268.316,"474,000"
"ArcTanh(e^-1) [Log-Formula]",,26.245,"952,000",58.488,"854,000",130.161,"768,000",392.246,"637,000",871.963,"573,000",1945.379,"514,000",5385.743,"464,000"
"BesselI(0,1) [Series]",,0.965,"25,900,000",2.067,"24,100,000",4.535,"22,000,000",12.838,"19,400,000",27.837,"17,900,000",60.201,"16,600,000",164.283,"15,200,000"
"BesselJ(0,1) [Series]",,0.975,"25,600,000",2.090,"23,900,000",4.572,"21,800,000",12.845,"19,400,000",27.869,"17,900,000",60.496,"16,500,000",164.972,"15,100,000"
"Bronze Ratio [Invsqrt]",,0.313,"79,800,000",0.663,"75,400,000",1.429,"69,900,000",4.148,"60,200,000",8.961,"55,700,000",19.566,"51,100,000",54.037,"46,200,000"
"Catalan's Constant [pilehrood-short]",8,17.187,"1,450,000",40.594,"1,230,000",91.429,"1,090,000",276.413,"904,000",603.412,"828,000",1212.596,"824,000",3595.140,"695,000"
"Cbrt(2) [Native]",,0.433,"57,700,000",0.925,"54,000,000",2.010,"49,700,000",5.707,"43,800,000",12.375,"40,400,000",26.976,"37,000,000",73.406,"34,000,000"
"Cbrt(2) [Native2]",,0.432,"57,800,000",0.921,"54,200,000",1.998,"50,000,000",5.694,"43,900,000",12.328,"40,500,000",26.900,"37,100,000",73.226,"34,100,000"
"Cbrt(3) [Native]",,0.432,"57,800,000",0.922,"54,200,000",2.006,"49,800,000",5.696,"43,800,000",12.408,"40,200,000",26.932,"37,100,000",73.570,"33,900,000"
"Cbrt(3) [Native2]",,0.436,"57,300,000",0.929,"53,800,000",2.022,"49,400,000",5.744,"43,500,000",12.441,"40,100,000",27.205,"36,700,000",74.282,"33,600,000"
"Cos(1) [Half Angle Formula]",,1.012,"24,700,000",2.200,"22,700,000",4.775,"20,900,000",13.530,"18,400,000",29.192,"17,100,000",63.411,"15,700,000",171.847,"14,500,000"
"Cos(1) [Series]",,0.976,"25,600,000",2.108,"23,700,000",4.591,"21,700,000",13.494,"18,500,000",29.184,"17,100,000",63.316,"15,700,000",172.734,"14,400,000"
"Erf(1) [Series]",,5.528,"4,520,000",12.065,"4,140,000",26.339,"3,790,000",74.634,"3,340,000",163.779,"3,050,000",363.420,"2,750,000",1018.052,"2,450,000"
"Erf(1) [Series-e]",,6.389,"3,910,000",13.986,"3,570,000",30.938,"3,230,000",90.020,"2,770,000",199.082,"2,510,000",441.053,"2,260,000",1237.938,"2,010,000"
"Euler-Mascheroni Constant [brent-original]",3,89.160,"280,000",203.192,"246,000",459.983,"217,000",1787.678,"139,000",4018.659,"124,000",9037.357,"110,000",,
"Euler-Mascheroni Constant [brent-refined]",3,66.705,"374,000",150.735,"331,000",341.124,"293,000",1195.205,"209,000",2684.646,"186,000",6061.204,"164,000",,
"Gamma(¾) [AGM-Pi]",,11.122,"2,240,000",24.635,"2,020,000",54.515,"1,830,000",165.550,"1,510,000",368.061,"1,350,000",817.341,"1,220,000",2213.486,"1,120,000"
"Gamma(¾) [Series-Pi (Brown)]",,27.487,"909,000",61.282,"815,000",136.420,"733,000",393.828,"634,000",877.482,"569,000",1963.952,"509,000",,
"Gamma(⅔) [AGM-Pi]",,13.280,"1,880,000",29.539,"1,690,000",65.444,"1,520,000",197.037,"1,260,000",435.346,"1,140,000",975.104,"1,020,000",,
"Gamma(⅔) [Series-Pi (Brown)]",,10.948,"2,280,000",24.673,"2,020,000",55.459,"1,800,000",158.659,"1,570,000",357.369,"1,390,000",796.454,"1,250,000",2299.056,"1,080,000"
"Gamma(⅙) [AGM-Pi]",,12.743,"1,960,000",28.467,"1,750,000",63.264,"1,580,000",189.480,"1,310,000",420.837,"1,180,000",943.211,"1,060,000",2562.155,"975,000"
"Gamma(⅙) [Series-Pi (Brown)]",,10.878,"2,290,000",24.286,"2,050,000",55.101,"1,810,000",159.190,"1,570,000",356.888,"1,400,000",799.311,"1,250,000",2297.425,"1,080,000"
"Gamma(⅚) [AGM-Pi]",,12.773,"1,950,000",28.452,"1,750,000",63.338,"1,570,000",190.406,"1,310,000",422.657,"1,180,000",939.830,"1,060,000",2571.351,"972,000"
"Gamma(⅚) [Series-Pi (Brown)]",,10.802,"2,310,000",24.197,"2,060,000",54.563,"1,830,000",157.257,"1,580,000",354.187,"1,410,000",790.401,"1,260,000",2291.720,"1,090,000"
"Gauss [AGM]",,8.190,"3,050,000",18.086,"2,760,000",39.995,"2,500,000",125.889,"1,980,000",275.356,"1,810,000",630.572,"1,580,000",1654.614,"1,510,000"
"Gauss [Series]",,21.228,"1,170,000",47.286,"1,050,000",106.636,"937,000",309.809,"806,000",704.013,"710,000",1568.063,"637,000",4554.026,"548,000"
"Golden Ratio [newton]",5,0.312,"80,100,000",0.657,"76,100,000",1.416,"70,600,000",4.114,"60,700,000",9.035,"55,300,000",19.493,"51,300,000",53.814,"46,400,000"
"Khinchin-Levy [Definition]",,9.993,"2,500,000",22.467,"2,220,000",50.746,"1,970,000",147.312,"1,690,000",330.907,"1,510,000",749.287,"1,330,000",2142.895,"1,160,000"
"Log(10) [machin-primary]",12,8.449,"2,950,000",19.046,"2,620,000",43.208,"2,310,000",124.468,"2,000,000",279.622,"1,780,000",629.833,"1,580,000",1813.804,"1,370,000"
"Log(10) [machin-secondary]",12,8.943,"2,790,000",20.107,"2,480,000",45.413,"2,200,000",131.905,"1,890,000",295.622,"1,690,000",666.778,"1,490,000",1914.043,"1,300,000"
"Log(2) [machin-primary]",6,7.378,"3,380,000",16.521,"3,020,000",37.351,"2,670,000",108.064,"2,310,000",243.675,"2,050,000",550.677,"1,810,000",1585.145,"1,570,000"
"Log(2) [machin-secondary]",6,8.430,"2,960,000",18.986,"2,630,000",43.215,"2,310,000",124.420,"2,000,000",279.623,"1,780,000",629.598,"1,580,000",1814.030,"1,370,000"
