,,1m,,2.5m,,5m,,10m,,25m,,50m,,100m,,250m,
"2^(⅐) [Native]",,0.030,"33,300,000",0.083,"30,100,000",0.176,"28,400,000",0.375,"26,600,000",0.971,"25,700,000",2.124,"23,500,000",4.659,"21,400,000",13.298,"18,700,000"
"2^(⅕) [Native]",,0.030,"33,300,000",0.082,"30,400,000",0.175,"28,500,000",0.371,"26,900,000",0.972,"25,700,000",2.126,"23,500,000",4.719,"21,100,000",13.289,"18,800,000"
"ArcCosh(e) [Log-Formula]",,1.294,"772,000",3.926,"636,000",8.683,"575,000",19.271,"518,000",52.637,"474,000",119.447,"418,000",264.558,"377,000",777.265,"321,000"
"ArcCoth(GoldenRatio) [Log-Formula]",,1.258,"794,000",3.797,"658,000",8.466,"590,000",18.828,"531,000",51.218,"488,000",116.426,"429,000",255.153,"391,000",756.502,"330,000"
"ArcSinh(e) [Log-Formula]",,1.293,"773,000",3.912,"639,000",8.673,"576,000",19.396,"515,000",52.664,"474,000",119.705,"417,000",263.188,"379,000",778.339,"321,000"
"ArcTanh(Pi^-1) [Log-Formula]",,1.245,"803,000",3.767,"663,000",8.363,"597,000",18.697,"534,000",51.004,"490,000",116.271,"430,000",257.124,"388,000",760.910,"328,000"
"ArcTanh(e^-1) [Log-Formula]",,1.280,"781,000",3.876,"644,000",8.557,"584,000",19.193,"521,000",52.329,"477,000",118.642,"421,000",262.500,"380,000",775.793,"322,000"
"BesselI(0,1) [Series]",,0.055,"18,100,000",0.151,"16,500,000",0.321,"15,500,000",0.680,"14,700,000",1.891,"13,200,000",4.150,"12,000,000",9.009,"11,100,000",24.281,"10,200,000"
"BesselJ(0,1) [Series]",,0.057,"17,500,000",0.152,"16,400,000",0.326,"15,300,000",0.692,"14,400,000",1.903,"13,100,000",4.144,"12,000,000",9.083,"11,000,000",24.358,"10,200,000"
"Bronze Ratio [Invsqrt]",,0.016,"62,500,000",0.046,"54,300,000",0.099,"50,500,000",0.213,"46,900,000",0.568,"44,000,000",1.222,"40,900,000",2.734,"36,500,000",7.797,"32,000,000"
"Catalan's Constant [guillera2019]",8,0.739,"1,350,000",2.313,"1,080,000",5.448,"917,000",12.677,"788,000",37.810,"661,000",87.210,"573,000",200.966,"497,000",597.914,"418,000"
"Catalan's Constant [pilehrood-short]",8,0.566,"1,760,000",1.704,"1,460,000",4.082,"1,220,000",9.356,"1,060,000",28.125,"888,000",64.895,"770,000",149.644,"668,000",444.455,"562,000"
"Cbrt(2) [Native]",,0.025,"40,000,000",0.068,"36,700,000",0.145,"34,400,000",0.309,"32,300,000",0.810,"30,800,000",1.737,"28,700,000",3.889,"25,700,000",11.061,"22,600,000"
"Cbrt(2) [Native2]",,0.025,"40,000,000",0.068,"36,700,000",0.142,"35,200,000",0.306,"32,600,000",0.802,"31,100,000",1.723,"29,000,000",3.833,"26,000,000",11.047,"22,600,000"
"Cbrt(3) [Native]",,0.025,"40,000,000",0.068,"36,700,000",0.144,"34,700,000",0.306,"32,600,000",0.804,"31,000,000",1.756,"28,400,000",3.903,"25,600,000",11.057,"22,600,000"
"Cbrt(3) [Native2]",,0.026,"38,400,000",0.070,"35,700,000",0.148,"33,700,000",0.314,"31,800,000",0.824,"30,300,000",1.816,"27,500,000",3.967,"25,200,000",11.274,"22,100,000"
"Cos(1) [Half Angle Formula]",,0.059,"16,900,000",0.161,"15,500,000",0.341,"14,600,000",0.730,"13,600,000",1.996,"12,500,000",4.314,"11,500,000",9.480,"10,500,000",25.455,"9,820,000"
"Cos(1) [Series]",,0.059,"16,900,000",0.156,"16,000,000",0.326,"15,300,000",0.702,"14,200,000",1.929,"12,900,000",4.183,"11,900,000",9.106,"10,900,000",26.046,"9,590,000"
"Erf(1) [Series]",,0.287,"3,480,000",0.798,"3,130,000",1.711,"2,920,000",3.852,"2,590,000",10.636,"2,350,000",23.400,"2,130,000",51.498,"1,940,000",147.452,"1,690,000"
"Erf(1) [Series-e]",,0.325,"3,070,000",0.905,"2,760,000",2.020,"2,470,000",4.479,"2,230,000",12.460,"2,000,000",27.621,"1,810,000",61.408,"1,620,000",178.522,"1,400,000"
"Euler-Mascheroni Constant [brent-original]",3,4.854,"206,000",12.650,"197,000",28.521,"175,000",65.265,"153,000",168.314,"148,000",394.593,"126,000",891.565,"112,000",,
"Euler-Mascheroni Constant [brent-refined]",3,3.209,"311,000",8.785,"284,000",19.942,"250,000",45.283,"220,000",124.903,"200,000",282.499,"176,000",646.604,"154,000",,
"Gamma(¼) [AGM-Pi]",10,0.569,"1,750,000",1.657,"1,500,000",3.716,"1,340,000",8.306,"1,200,000",22.516,"1,110,000",51.032,"979,000",111.396,"897,000",328.948,"759,000"
"Gamma(¼) [Series-Pi (Brown)]",10,1.082,"924,000",3.257,"767,000",7.350,"680,000",16.434,"608,000",48.007,"520,000",108.719,"459,000",247.074,"404,000",724.453,"345,000"
"Gamma(¾) [AGM-Pi]",,0.579,"1,720,000",1.666,"1,500,000",3.748,"1,330,000",8.355,"1,190,000",22.768,"1,090,000",51.701,"967,000",112.725,"887,000",331.645,"753,000"
"Gamma(¾) [Series-Pi (Brown)]",,1.275,"784,000",3.747,"667,000",8.259,"605,000",18.585,"538,000",53.928,"463,000",120.942,"413,000",269.950,"370,000",787.589,"317,000"
