,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"2^(⅐) [Native]",,0.143,"174,000,000",0.233,"214,000,000",0.383,"261,000,000",0.733,"341,000,000",1.175,"425,000,000",1.944,"514,000,000",4.222,"592,000,000",,,,,,,,,,
"2^(⅕) [Native]",,0.140,"178,000,000",0.220,"227,000,000",0.373,"268,000,000",0.744,"336,000,000",1.183,"422,000,000",2.017,"495,000,000",4.299,"581,000,000",,,,,,,,,,
"ArcCosh(e) [Log-Formula]",,6.973,"3,580,000",12.290,"4,060,000",22.382,"4,460,000",48.340,"5,170,000",83.504,"5,980,000",145.104,"6,890,000",,,,,,,,,,,,
"ArcCoth(GoldenRatio) [Log-Formula]",,7.276,"3,430,000",12.409,"4,020,000",21.588,"4,630,000",46.148,"5,410,000",78.414,"6,370,000",136.604,"7,320,000",,,,,,,,,,,,
"ArcSinh(e) [Log-Formula]",,7.144,"3,490,000",12.286,"4,060,000",22.208,"4,500,000",47.761,"5,230,000",82.776,"6,040,000",141.102,"7,080,000",,,,,,,,,,,,
"ArcTanh(Pi^-1) [Log-Formula]",,6.225,"4,010,000",11.539,"4,330,000",22.228,"4,490,000",47.140,"5,300,000",81.001,"6,170,000",144.773,"6,900,000",,,,,,,,,,,,
"ArcTanh(e^-1) [Log-Formula]",,6.913,"3,610,000",11.969,"4,170,000",22.425,"4,450,000",48.634,"5,140,000",83.019,"6,020,000",143.602,"6,960,000",,,,,,,,,,,,
"BesselI(0,1) [Series]",,0.155,"161,000,000",0.282,"177,000,000",0.543,"184,000,000",1.058,"236,000,000",1.661,"301,000,000",2.778,"359,000,000",6.293,"397,000,000",,,,,,,,,,
"BesselJ(0,1) [Series]",,0.155,"161,000,000",0.285,"175,000,000",0.533,"187,000,000",1.052,"237,000,000",1.650,"303,000,000",2.820,"354,000,000",6.294,"397,000,000",,,,,,,,,,
"Bronze Ratio [Invsqrt]",,0.081,"308,000,000",0.133,"375,000,000",0.221,"452,000,000",0.457,"547,000,000",0.712,"702,000,000",1.189,"841,000,000",2.616,"955,000,000",5.220,"957,000,000",10.515,"951,000,000",27.413,"911,000,000",57.774,"865,000,000",139.884,"714,000,000"
"Catalan's Constant [guillera2019]",8,2.320,"10,700,000",5.457,"9,160,000",12.796,"7,810,000",34.413,"7,260,000",62.346,"8,010,000",109.398,"9,140,000",,,,,,,,,,,,
"Catalan's Constant [pilehrood-short]",8,1.754,"14,200,000",4.049,"12,300,000",9.293,"10,700,000",25.274,"9,890,000",46.074,"10,800,000",81.620,"12,200,000",,,,,,,,,,,,
"Cbrt(2) [Native]",,0.117,"213,000,000",0.188,"265,000,000",0.313,"319,000,000",0.611,"409,000,000",0.970,"515,000,000",1.642,"609,000,000",3.580,"698,000,000",,,,,,,,,,
"Cbrt(2) [Native2]",,0.120,"208,000,000",0.195,"256,000,000",0.322,"310,000,000",0.623,"401,000,000",0.983,"508,000,000",1.673,"597,000,000",3.532,"707,000,000",,,,,,,,,,
"Cbrt(3) [Native]",,0.118,"211,000,000",0.193,"259,000,000",0.321,"311,000,000",0.618,"404,000,000",0.979,"510,000,000",1.686,"593,000,000",3.557,"702,000,000",,,,,,,,,,
"Cbrt(3) [Native2]",,0.127,"196,000,000",0.200,"250,000,000",0.333,"300,000,000",0.632,"395,000,000",1.003,"498,000,000",1.699,"588,000,000",3.594,"695,000,000",,,,,,,,,,
"Cos(1) [Half Angle Formula]",,0.160,"156,000,000",0.299,"167,000,000",0.564,"177,000,000",1.123,"222,000,000",1.760,"284,000,000",2.989,"334,000,000",6.686,"373,000,000",,,,,,,,,,
"Cos(1) [Series]",,0.158,"158,000,000",0.290,"172,000,000",0.531,"188,000,000",1.087,"229,000,000",1.719,"290,000,000",2.930,"341,000,000",7.241,"345,000,000",14.828,"337,000,000",29.892,"334,000,000",84.894,"294,000,000",197.146,"253,000,000",471.889,"211,000,000"
"Erf(1) [Series]",,0.817,"30,500,000",1.523,"32,800,000",3.198,"31,200,000",7.864,"31,700,000",13.887,"36,000,000",23.534,"42,400,000",49.443,"50,500,000",,,,,,,,,,
"Erf(1) [Series-e]",,0.876,"28,500,000",1.829,"27,300,000",3.831,"26,100,000",9.190,"27,200,000",16.384,"30,500,000",27.503,"36,300,000",59.006,"42,300,000",,,,,,,,,,
"Euler-Mascheroni Constant [brent-original]",3,12.320,"2,020,000",25.980,"1,920,000",55.520,"1,800,000",185.415,"1,340,000",330.700,"1,510,000",566.175,"1,760,000",,,,,,,,,,,,
