,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"2^(⅐) [Native]",,1.063,"23,500,000",2.290,"21,800,000",4.841,"20,600,000",13.425,"18,600,000",28.833,"17,300,000",63.242,"15,800,000",,,,,,,,,,
"2^(⅕) [Native]",,1.064,"23,400,000",2.289,"21,800,000",4.886,"20,400,000",13.682,"18,200,000",29.541,"16,900,000",61.678,"16,200,000",,,,,,,,,,
"BesselI(0,1) [Series]",,1.920,"13,000,000",4.182,"11,900,000",9.018,"11,000,000",24.366,"10,200,000",53.171,"9,400,000",115.154,"8,680,000",,,,,,,,,,
"BesselJ(0,1) [Series]",,1.955,"12,700,000",4.224,"11,800,000",9.142,"10,900,000",24.416,"10,200,000",53.225,"9,390,000",115.057,"8,690,000",,,,,,,,,,
"Bronze Ratio [Invsqrt]",,0.628,"39,800,000",1.353,"36,900,000",2.943,"33,900,000",8.508,"29,300,000",18.564,"26,900,000",40.366,"24,700,000",,,,,,,,,,
"Cbrt(2) [Native]",,0.895,"27,900,000",1.908,"26,200,000",4.072,"24,500,000",11.186,"22,300,000",24.212,"20,600,000",52.160,"19,100,000",,,,,,,,,,
"Cbrt(2) [Native2]",,0.882,"28,300,000",1.885,"26,500,000",4.044,"24,700,000",11.200,"22,300,000",24.282,"20,500,000",52.354,"19,100,000",,,,,,,,,,
"Cbrt(3) [Native]",,0.886,"28,200,000",1.903,"26,200,000",4.024,"24,800,000",11.248,"22,200,000",24.388,"20,500,000",52.487,"19,000,000",,,,,,,,,,
"Cbrt(3) [Native2]",,0.910,"27,400,000",1.948,"25,600,000",4.114,"24,300,000",11.550,"21,600,000",24.756,"20,100,000",53.234,"18,700,000",,,,,,,,,,
"Cos(1) [Half Angle Formula]",,2.045,"12,200,000",4.510,"11,000,000",9.695,"10,300,000",25.989,"9,610,000",56.618,"8,830,000",121.364,"8,230,000",,,,,,,,,,
"Cos(1) [Series]",,1.966,"12,700,000",4.268,"11,700,000",9.291,"10,700,000",27.564,"9,060,000",57.871,"8,630,000",128.488,"7,780,000",,,,,,,,,,
"Erf(1) [Series]",,10.748,"2,320,000",23.878,"2,090,000",52.706,"1,890,000",149.284,"1,670,000",337.774,"1,480,000",729.063,"1,370,000",,,,,,,,,,
"Erf(1) [Series-e]",,12.743,"1,960,000",28.013,"1,780,000",62.299,"1,600,000",179.934,"1,380,000",397.841,"1,250,000",898.767,"1,110,000",,,,,,,,,,
"Gamma(¼) [AGM-Pi]",10,23.442,"1,060,000",50.542,"989,000",109.789,"910,000",323.548,"772,000",714.795,"699,000",1553.057,"643,000",,,,,,,,,,
"Gamma(¼) [Series-Pi (Brown)]",10,48.857,"511,000",110.747,"451,000",249.759,"400,000",726.889,"343,000",1644.541,"304,000",3664.013,"272,000",,,,,,,,,,
"Gamma(¾) [AGM-Pi]",,24.081,"1,030,000",52.019,"961,000",113.826,"878,000",337.093,"741,000",724.579,"690,000",1594.477,"627,000",,,,,,,,,,
"Gamma(¾) [Series-Pi (Brown)]",,56.601,"441,000",133.236,"375,000",297.709,"335,000",857.433,"291,000",1842.380,"271,000",4273.703,"233,000",,,,,,,,,,
"Gamma(⅓) [AGM-Pi]",11,28.039,"891,000",60.465,"826,000",131.475,"760,000",386.017,"647,000",840.644,"594,000",1859.021,"537,000",,,,,,,,,,
"Gamma(⅓) [Series-Pi (Brown)]",11,21.786,"1,140,000",49.201,"1,010,000",111.359,"897,000",322.582,"774,000",724.836,"689,000",1621.120,"616,000",,,,,,,,,,
